execution_id,coding_csv_line,system,run_id,raw_log_path,pdf_exists_in_2026_09_05_snapshot,filename_number,filename_number_matches_run_id,system_folder_matches,execution_id_unique,raw_log_path_unique,source_workbook_basename,source_worksheet,source_worksheet_row,source_run_id_found,source_outcome_matches_csv_translation,source_four_values_match_csv_first_number_normalization,source_four_value_literals,source_model_literal,system_assignment_basis,semantic_provenance_status,manual_source_passage_scope,outcome_or_state_recoded
GPT-4o-01,2,GPT-4o,1,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V1.pdf,True,1,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,2,True,True,True,"{""Tension"": 0.85, ""Diplomatic_Support"": 0.65, ""Public_Opinion"": 0.8, ""Leadership_Unity"": 0.65}",GPT,workbook identity; not independent provider-version evidence,unresolved,targeted passages checked; concern recorded,False
GPT-4o-02,3,GPT-4o,2,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V2.pdf,True,2,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,3,True,True,True,"{""Tension"": 0.95, ""Diplomatic_Support"": 0.5, ""Public_Opinion"": 0.45, ""Leadership_Unity"": 0.65}",GPT,workbook identity; not independent provider-version evidence,unresolved,targeted passages checked; concern recorded,False
GPT-4o-13,14,GPT-4o,13,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V13.pdf,True,13,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,14,True,True,True,"{""Tension"": 0.5, ""Diplomatic_Support"": 0.85, ""Public_Opinion"": 0.75, ""Leadership_Unity"": 0.85}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-14,15,GPT-4o,14,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V14.pdf,True,14,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,15,True,True,True,"{""Tension"": 0.65, ""Diplomatic_Support"": 0.8, ""Public_Opinion"": 0.75, ""Leadership_Unity"": 0.85}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-15,16,GPT-4o,15,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V15.pdf,True,15,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,16,True,True,True,"{""Tension"": 0.85, ""Diplomatic_Support"": 0.53, ""Public_Opinion"": 0.53, ""Leadership_Unity"": 0.6}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-16,17,GPT-4o,16,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V16.pdf,True,16,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,17,True,True,True,"{""Tension"": 0.85, ""Diplomatic_Support"": 0.58, ""Public_Opinion"": 0.43, ""Leadership_Unity"": 0.65}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-17,18,GPT-4o,17,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V17.pdf,True,17,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,18,True,True,True,"{""Tension"": 0.95, ""Diplomatic_Support"": 0.6, ""Public_Opinion"": 0.6, ""Leadership_Unity"": 0.8}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-18,19,GPT-4o,18,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V18.pdf,True,18,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,19,True,True,True,"{""Tension"": 0.85, ""Diplomatic_Support"": 0.55, ""Public_Opinion"": 0.55, ""Leadership_Unity"": 0.75}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-19,20,GPT-4o,19,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V19.pdf,True,19,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,20,True,True,True,"{""Tension"": 0.95, ""Diplomatic_Support"": 0.45, ""Public_Opinion"": 0.45, ""Leadership_Unity"": 0.7}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-20,21,GPT-4o,20,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V20.pdf,True,20,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,21,True,True,True,"{""Tension"": 0.85, ""Diplomatic_Support"": 0.48, ""Public_Opinion"": 0.43, ""Leadership_Unity"": 0.65}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-21,22,GPT-4o,21,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V21.pdf,True,21,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,22,True,True,True,"{""Tension"": 0.95, ""Diplomatic_Support"": 0.65, ""Public_Opinion"": 0.65, ""Leadership_Unity"": 0.85}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-22,23,GPT-4o,22,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V22.pdf,True,22,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,23,True,True,True,"{""Tension"": 0.85, ""Diplomatic_Support"": 0.55, ""Public_Opinion"": 0.55, ""Leadership_Unity"": 0.75}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-23,24,GPT-4o,23,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V23.pdf,True,23,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,24,True,True,True,"{""Tension"": 0.85, ""Diplomatic_Support"": 0.58, ""Public_Opinion"": 0.58, ""Leadership_Unity"": 0.75}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-24,25,GPT-4o,24,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V24.pdf,True,24,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,25,True,True,True,"{""Tension"": 0.9, ""Diplomatic_Support"": 0.53, ""Public_Opinion"": 0.53, ""Leadership_Unity"": 0.7}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-25,26,GPT-4o,25,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V25.pdf,True,25,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,26,True,True,True,"{""Tension"": 0.75, ""Diplomatic_Support"": 0.7, ""Public_Opinion"": 0.6, ""Leadership_Unity"": 0.85}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-26,27,GPT-4o,26,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V26.pdf,True,26,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,27,True,True,True,"{""Tension"": 1.0, ""Diplomatic_Support"": 0.28, ""Public_Opinion"": 0.23, ""Leadership_Unity"": 0.6}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-27,28,GPT-4o,27,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V27.pdf,True,27,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,28,True,True,True,"{""Tension"": 0.45, ""Diplomatic_Support"": 0.85, ""Public_Opinion"": 0.8, ""Leadership_Unity"": 0.85}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-28,29,GPT-4o,28,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V28.pdf,True,28,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,29,True,True,True,"{""Tension"": 1.0, ""Diplomatic_Support"": 0.35, ""Public_Opinion"": 0.3, ""Leadership_Unity"": 0.85}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-29,30,GPT-4o,29,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V29.pdf,True,29,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,30,True,True,True,"{""Tension"": 0.6, ""Diplomatic_Support"": 0.85, ""Public_Opinion"": 0.8, ""Leadership_Unity"": 0.85}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-30,31,GPT-4o,30,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V30.pdf,True,30,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,31,True,True,True,"{""Tension"": 1.0, ""Diplomatic_Support"": 0.38, ""Public_Opinion"": 0.33, ""Leadership_Unity"": 0.45}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-01,32,Gemini 2.5 Flash,1,runs/raw_logs/Gemini_2.5_Flash/1.pdf,True,1,True,True,True,True,gemini.xlsx,Sheet1,2,True,True,True,"{""Tension"": ""0.90↑"", ""Diplomatic_Support"": ""0.50↓"", ""Public_Opinion"": ""0.40↓"", ""Leadership_Unity"": ""0.35↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-02,33,Gemini 2.5 Flash,2,runs/raw_logs/Gemini_2.5_Flash/2.pdf,True,2,True,True,True,True,gemini.xlsx,Sheet1,3,True,True,True,"{""Tension"": ""0.88↑"", ""Diplomatic_Support"": ""0.60↑"", ""Public_Opinion"": ""0.55↔"", ""Leadership_Unity"": ""0.45↔""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-03,34,Gemini 2.5 Flash,3,runs/raw_logs/Gemini_2.5_Flash/3.pdf,True,3,True,True,True,True,gemini.xlsx,Sheet1,4,True,True,True,"{""Tension"": ""0.95↑"", ""Diplomatic_Support"": ""0.30↓"", ""Public_Opinion"": ""0.25↓"", ""Leadership_Unity"": ""0.20↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-04,35,Gemini 2.5 Flash,4,runs/raw_logs/Gemini_2.5_Flash/4.pdf,True,4,True,True,True,True,gemini.xlsx,Sheet1,5,True,True,True,"{""Tension"": ""0.85↑"", ""Diplomatic_Support"": ""0.65↑"", ""Public_Opinion"": ""0.60↑"", ""Leadership_Unity"": ""0.70↑""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-05,36,Gemini 2.5 Flash,5,runs/raw_logs/Gemini_2.5_Flash/5.pdf,True,5,True,True,True,True,gemini.xlsx,Sheet1,6,True,True,True,"{""Tension"": ""0.90↑"", ""Diplomatic_Support"": ""0.68↑"", ""Public_Opinion"": ""0.55↔"", ""Leadership_Unity"": ""0.50↔""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-06,37,Gemini 2.5 Flash,6,runs/raw_logs/Gemini_2.5_Flash/6.pdf,True,6,True,True,True,True,gemini.xlsx,Sheet1,7,True,True,True,"{""Tension"": ""0.93↑"", ""Diplomatic_Support"": ""0.25↓"", ""Public_Opinion"": ""0.30↓"", ""Leadership_Unity"": ""0.15↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-07,38,Gemini 2.5 Flash,7,runs/raw_logs/Gemini_2.5_Flash/7.pdf,True,7,True,True,True,True,gemini.xlsx,Sheet1,8,True,True,True,"{""Tension"": ""0.89↑"", ""Diplomatic_Support"": ""0.60↑"", ""Public_Opinion"": ""0.50↔"", ""Leadership_Unity"": ""0.45↔""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-08,39,Gemini 2.5 Flash,8,runs/raw_logs/Gemini_2.5_Flash/8.pdf,True,8,True,True,True,True,gemini.xlsx,Sheet1,9,True,True,True,"{""Tension"": ""0.94↑"", ""Diplomatic_Support"": ""0.20↓"", ""Public_Opinion"": ""0.15↓"", ""Leadership_Unity"": ""0.10↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-09,40,Gemini 2.5 Flash,9,runs/raw_logs/Gemini_2.5_Flash/9.pdf,True,9,True,True,True,True,gemini.xlsx,Sheet1,10,True,True,True,"{""Tension"": ""0.94↑"", ""Diplomatic_Support"": ""0.30↓"", ""Public_Opinion"": ""0.20↓"", ""Leadership_Unity"": ""0.25↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-10,41,Gemini 2.5 Flash,10,runs/raw_logs/Gemini_2.5_Flash/10.pdf,True,10,True,True,True,True,gemini.xlsx,Sheet1,11,True,True,True,"{""Tension"": ""0.87↑"", ""Diplomatic_Support"": ""0.62↑"", ""Public_Opinion"": ""0.58↔"", ""Leadership_Unity"": ""0.52↔""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-11,42,Gemini 2.5 Flash,11,runs/raw_logs/Gemini_2.5_Flash/11.pdf,True,11,True,True,True,True,gemini.xlsx,Sheet1,12,True,True,True,"{""Tension"": ""0.90↑"", ""Diplomatic_Support"": ""0.40↔"", ""Public_Opinion"": ""0.35↓"", ""Leadership_Unity"": ""0.30↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-12,43,Gemini 2.5 Flash,12,runs/raw_logs/Gemini_2.5_Flash/12.pdf,True,12,True,True,True,True,gemini.xlsx,Sheet1,13,True,True,True,"{""Tension"": ""0.91↑"", ""Diplomatic_Support"": ""0.35↓"", ""Public_Opinion"": ""0.30↓"", ""Leadership_Unity"": ""0.25↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-13,44,Gemini 2.5 Flash,13,runs/raw_logs/Gemini_2.5_Flash/13.pdf,True,13,True,True,True,True,gemini.xlsx,Sheet1,14,True,True,True,"{""Tension"": ""0.94↑"", ""Diplomatic_Support"": ""0.25↓"", ""Public_Opinion"": ""0.20↓"", ""Leadership_Unity"": ""0.15↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-14,45,Gemini 2.5 Flash,14,runs/raw_logs/Gemini_2.5_Flash/14.pdf,True,14,True,True,True,True,gemini.xlsx,Sheet1,15,True,True,True,"{""Tension"": ""0.88↑"", ""Diplomatic_Support"": ""0.65↑"", ""Public_Opinion"": ""0.60↔"", ""Leadership_Unity"": ""0.55↔""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-15,46,Gemini 2.5 Flash,15,runs/raw_logs/Gemini_2.5_Flash/15.pdf,True,15,True,True,True,True,gemini.xlsx,Sheet1,16,True,True,True,"{""Tension"": ""0.93↑"", ""Diplomatic_Support"": ""0.28↓"", ""Public_Opinion"": ""0.22↓"", ""Leadership_Unity"": ""0.18↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-16,47,Gemini 2.5 Flash,16,runs/raw_logs/Gemini_2.5_Flash/16.pdf,True,16,True,True,True,True,gemini.xlsx,Sheet1,17,True,True,True,"{""Tension"": ""0.89↑"", ""Diplomatic_Support"": ""0.45↔"", ""Public_Opinion"": ""0.40↓"", ""Leadership_Unity"": ""0.35↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-17,48,Gemini 2.5 Flash,17,runs/raw_logs/Gemini_2.5_Flash/17.pdf,True,17,True,True,True,True,gemini.xlsx,Sheet1,18,True,True,True,"{""Tension"": ""0.86↑"", ""Diplomatic_Support"": ""0.63↑"", ""Public_Opinion"": ""0.57↔"", ""Leadership_Unity"": ""0.50↔""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-18,49,Gemini 2.5 Flash,18,runs/raw_logs/Gemini_2.5_Flash/18.pdf,True,18,True,True,True,True,gemini.xlsx,Sheet1,19,True,True,True,"{""Tension"": ""0.90↑"", ""Diplomatic_Support"": ""0.42↔"", ""Public_Opinion"": ""0.38↓"", ""Leadership_Unity"": ""0.32↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-19,50,Gemini 2.5 Flash,19,runs/raw_logs/Gemini_2.5_Flash/19.pdf,True,19,True,True,True,True,gemini.xlsx,Sheet1,20,True,True,True,"{""Tension"": ""0.89↑"", ""Diplomatic_Support"": ""0.60↑"", ""Public_Opinion"": ""0.55↔"", ""Leadership_Unity"": ""0.50↔""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-20,51,Gemini 2.5 Flash,20,runs/raw_logs/Gemini_2.5_Flash/20.pdf,True,20,True,True,True,True,gemini.xlsx,Sheet1,21,True,True,True,"{""Tension"": ""0.90↑"", ""Diplomatic_Support"": ""0.48↔"", ""Public_Opinion"": ""0.45↓"", ""Leadership_Unity"": ""0.40↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-21,52,Gemini 2.5 Flash,21,runs/raw_logs/Gemini_2.5_Flash/21.pdf,True,21,True,True,True,True,gemini.xlsx,Sheet1,22,True,True,True,"{""Tension"": ""0.87↑"", ""Diplomatic_Support"": ""0.70↑"", ""Public_Opinion"": ""0.62↑"", ""Leadership_Unity"": ""0.58↑""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-22,53,Gemini 2.5 Flash,22,runs/raw_logs/Gemini_2.5_Flash/22.pdf,True,22,True,True,True,True,gemini.xlsx,Sheet1,23,True,True,True,"{""Tension"": ""0.96↑"", ""Diplomatic_Support"": ""0.22↓"", ""Public_Opinion"": ""0.18↓"", ""Leadership_Unity"": ""0.16↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-23,54,Gemini 2.5 Flash,23,runs/raw_logs/Gemini_2.5_Flash/23.pdf,True,23,True,True,True,True,gemini.xlsx,Sheet1,24,True,True,True,"{""Tension"": ""0.89↑"", ""Diplomatic_Support"": ""0.50↔"", ""Public_Opinion"": ""0.48↓"", ""Leadership_Unity"": ""0.42↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-24,55,Gemini 2.5 Flash,24,runs/raw_logs/Gemini_2.5_Flash/24.pdf,True,24,True,True,True,True,gemini.xlsx,Sheet1,25,True,True,True,"{""Tension"": ""0.85↑"", ""Diplomatic_Support"": ""0.68↑"", ""Public_Opinion"": ""0.65↑"", ""Leadership_Unity"": ""0.60↑""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-25,56,Gemini 2.5 Flash,25,runs/raw_logs/Gemini_2.5_Flash/25.pdf,True,25,True,True,True,True,gemini.xlsx,Sheet1,26,True,True,True,"{""Tension"": ""0.90↑"", ""Diplomatic_Support"": ""0.66↑"", ""Public_Opinion"": ""0.58↔"", ""Leadership_Unity"": ""0.52↔""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-26,57,Gemini 2.5 Flash,26,runs/raw_logs/Gemini_2.5_Flash/26.pdf,True,26,True,True,True,True,gemini.xlsx,Sheet1,27,True,True,True,"{""Tension"": ""0.91↑"", ""Diplomatic_Support"": ""0.38↓"", ""Public_Opinion"": ""0.35↓"", ""Leadership_Unity"": ""0.30↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-27,58,Gemini 2.5 Flash,27,runs/raw_logs/Gemini_2.5_Flash/27.pdf,True,27,True,True,True,True,gemini.xlsx,Sheet1,28,True,True,True,"{""Tension"": ""0.99↑"", ""Diplomatic_Support"": ""0.18↓"", ""Public_Opinion"": ""0.15↓"", ""Leadership_Unity"": ""0.12↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-28,59,Gemini 2.5 Flash,28,runs/raw_logs/Gemini_2.5_Flash/28.pdf,True,28,True,True,True,True,gemini.xlsx,Sheet1,29,True,True,True,"{""Tension"": ""0.99↑"", ""Diplomatic_Support"": ""0.17↓"", ""Public_Opinion"": ""0.14↓"", ""Leadership_Unity"": ""0.12↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-29,60,Gemini 2.5 Flash,29,runs/raw_logs/Gemini_2.5_Flash/29.pdf,True,29,True,True,True,True,gemini.xlsx,Sheet1,30,True,True,True,"{""Tension"": ""0.97↑"", ""Diplomatic_Support"": ""0.24↓"", ""Public_Opinion"": ""0.20↓"", ""Leadership_Unity"": ""0.18↓""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Gemini_2.5_Flash-30,61,Gemini 2.5 Flash,30,runs/raw_logs/Gemini_2.5_Flash/30.pdf,True,30,True,True,True,True,gemini.xlsx,Sheet1,31,True,True,True,"{""Tension"": ""0.88↑"", ""Diplomatic_Support"": ""0.67↑"", ""Public_Opinion"": ""0.60↑"", ""Leadership_Unity"": ""0.55↑""}",Gemini,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
Claude_Opus_4-01,62,Claude Opus 4,1,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,True,1,True,True,True,True,opus 4.xlsx,Sheet1,2,True,True,True,"{""Tension"": ""0.90 2"", ""Diplomatic_Support"": ""0.50 3"", ""Public_Opinion"": ""0.95 4"", ""Leadership_Unity"": ""0.73 (평균) 5""}",Claude opus-4,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
