case_id,run_id,domain,turn,ai_status,checked_pages,question,observed_output,judgment_reason,scope_limit,evidence_note,source_url,source_sha256,original_check_id,old_card_ai_status,reviewer_type,human_reviewer,human_review_date,human_status,human_reason,original_rule,source_mode,comparison_note
HR-011,GPT-29,Initial actor-setting compatibility,1,U,1–4,"초기 미국의 행동 근거가 목표의 표현인가, 성공의 보장인가?",봉쇄·즉각 대응·비공개 경고가 제시되고 주요 봉쇄 선택은 대통령 설정과 양립한다. 군사 대안은 위험을 인정하면서도 가동 전에 미사일을 제거한다고 서술한다.,원프로필은 결정적 제거를 선호한다는 설명과 완전한 성공을 보장할 수 없다는 제약을 함께 담고 있다. 축약된 문장이 의도·주장인지 결과 보장인지 모호하므로 보수적으로 U로 둔다.,강경 대안을 선택해서 위반이라는 뜻이 아니다. 이 경계 처리에 따른 U는 9월20일 기준 보완에 이미 포함된 것으로 새 오류 발견이 아니다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V29.pdf,588bfc80c9151a9a8981f07b5c5f73f2c4ec0c93ae8849ad9c0b3dcd23eb1a4b,A2-GPT-29-T1_US_ROLE,준수,AI,,,,,"For both the United States and the Soviet Union, identify 2-3 'realistic and plausible' alternative strategic actions for the current event, and for each alternative, clearly state the rationale based on the JSON information.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드와 다름; 9월20일 판정기준 보완과 같은 방향
HR-012,GPT-19,Local alternative-pair generation,3,C,14–20,현재 처리한 상태에서 주요 조합 외에 추가 행동쌍을 만들었는가?,"주요 US1–USSR2 조합 외에 US2–USSR3, US3–USSR1 조합을 제시하며 각각의 결과를 구분한다.",현재 다룬 부모 또는 상태 안에서는 주조합과 두 추가 조합이 식별된다. 따라서 이 국소 생성 요구는 충족한다.,이 응답이 앞선 모든 부모를 빠짐없이 이어받았는지는 다른 평가이다. 단일 상태에 대안 셋이 있다고 전체 부모 처리까지 C가 되지 않는다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V19.pdf,4750ec398977fac0511c235af8f5947636e89150f2a8a28b03df2f3f246df7d0,A2-GPT-19-T3_BRANCH,준수,AI,,,,,"For each 'scenario combination', specify 1 'most plausible' combination of strategic actions for this Turn, and additionally 1-2 'alternative plausible paths' (totaling 2-3 combinations) that could lead to different realistic outcomes.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-013,GPT-11,Local alternative-pair generation,2,V,7–12,각 기존 경로 안에서 추가 행동 조합을 생성했는가?,"세 경로 각각에 미국·소련의 개별 행동 목록을 제시하지만, 최종 선택된 양국 조합과 로그는 경로당 하나이다.",각국에 대안이 여러 개 있다는 것만으로 추가 양국 행동쌍이 있다고 볼 수 없다. 세 기존 경로를 하나씩 이어간 것은 경로별 추가 대안을 만들라는 요구를 대신하지 못한다.,행동 목록이 전혀 없다는 판정이 아니다. 빠진 것은 각 부모 안의 추가 결합이다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V11.pdf,da0399d4adc653c8b6ad22ac5f9cc9cfd6a3eaf479694ba79318867dd370ad78,A2-GPT-11-T2_BRANCH,위반,AI,,,,,"For each 'scenario combination', specify 1 'most plausible' combination of strategic actions for this Turn, and additionally 1-2 'alternative plausible paths' (totaling 2-3 combinations) that could lead to different realistic outcomes.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-014,GPT-25,Local alternative-pair generation,2,U,6–10,2턴의 추가 행동 조합 생성 여부를 확인할 수 있는가?,2턴 사용자 지시 뒤 답변 위치가 비어 있고 이어서 3턴 지시·응답이 나타난다.,보존된 3턴 출력을 2턴의 이행 근거로 가져올 수 없다. 2턴의 실제 생성 실패와 기록 누락을 구별할 수 없으므로 U이다.,빈 기록을 근거로 행동쌍 수를 0으로 확정하지 않는다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V25.pdf,b0a112a6a6dcc9a56fe67c8983a15f4e06a3034ebb03146ca406d11d3c476a8d,A2-GPT-25-T2_BRANCH,판정 불가,AI,,,,,"For each 'scenario combination', specify 1 'most plausible' combination of strategic actions for this Turn, and additionally 1-2 'alternative plausible paths' (totaling 2-3 combinations) that could lead to different realistic outcomes.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-015,GPT-03,Specified event decision conditions,3,C,13–16,정찰기 사건을 3턴의 행동과 대응에 반영했는가?,"사건을 명시한 뒤 첫 경로의 대응 선택, 둘째 경로의 대립 심화, 셋째 경로의 협상 부담과 설명 요구를 연결한다.",같은 사건이 각 경로의 선택 전제로 작동한다. 모든 경로가 동일한 보복 행동을 해야 한다는 기준은 적용하지 않는다.,"당위적·역사적 정답의 판단이 아니다. 임계치나 상태 계산, 추가 대안 개수도 별도로 본다.",,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V3.pdf,f2ffaacf63446d0349875fa6a15f65971b3a9130bf9bf071035952189c2bf35b,A2-GPT-03-T3_EVENT,준수,AI,,,,,"A U.S. U-2 reconnaissance plane was shot down over Cuba, and the pilot was killed.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-016,GPT-18,Specified event decision conditions,2,U,9–10,2턴의 선박 검사와 경계 격상 조건이 실제 선택에 어떻게 반영됐는가?,출력에는 상태를 갱신했다는 설명과 수치 표가 있다. 하지만 그 조건으로 어떤 행동을 골랐으며 민간·군사 화물의 구분이 어떻게 사용됐는지 추적할 정보는 부족하다.,수치나 사건명이 있다는 사실만으로 결정조건의 이행을 확정할 수 없다. 반영을 부정할 충분한 근거도 없어 U로 둔다.,표가 없었다고 서술하지 않는다. 확인되지 않은 것은 상태 숫자의 존재가 아니라 사건과 판단의 연결이다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V18.pdf,f0dad85d4e2cfc4eaaf5de2909bacdad3105b8f12cfca38f8df9bed75cd66ecd,A2-GPT-18-T2_EVENT,판정 불가,AI,,,,,"The U.S. issued DEFCON 3. During a U.S. naval blockade operation, a Soviet vessel was intercepted; non-military cargo was inspected and allowed to proceed, while military cargo was forced to stop, retreat, or alter its course.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님); 근거 위치 또는 설명 보완
HR-017,GPT-10,Previous parent-path coverage,3,C,7–16,2턴의 세 보존 결과 경로를 3턴에서 모두 다뤘는가?,"앞선 주요·강경·외교 경로의 로그가 각각 있고, 3턴에서도 대응되는 세 경로를 구분해 선택과 결과를 작성한다.",명시적으로 이어야 하는 세 결과가 현재 처리범위에 포함되어 있다. 표제와 상황 연결로 대응 가능하다.,경로가 존재한다는 확인과 수치가 정확히 승계됐다는 확인을 혼동하지 않는다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V10.pdf,c95c58c512afda8d047eb925bd47801968f42f53b2d18458d6cccce3aa1c3aad,A2-GPT-10-T3_PARENT_COVERAGE,준수,AI,,,,,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-018,GPT-12,Previous parent-path coverage,4,V,11–17,3턴에서 별도 결과를 가진 세 경로가 4턴으로 이어졌는가?,3턴은 주요 경로 외에 Crisis Freeze와 Red Line Test를 독립 상태와 함께 남긴다. 4턴은 주요 경로의 시작값을 사용해 새로운 대안만 만들고 나머지 두 이전 경로를 다루지 않는다.,이들은 단순 후보 목록이 아니라 별도 결과가 기록된 경로이다. 하나의 부모에서 새 자식들을 만든 것으로 다른 부모 둘의 계속 처리를 대신할 수 없다.,4턴에서 대안이 전혀 없다는 뜻은 아니다. 빠진 것은 이전 부모의 범위이다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V12.pdf,f3b1fb6fcbafc7446847aa51e799b7b5013ad6c06e2bb1ac50e89cd6beaeebaa,A2-GPT-12-T4_PARENT_COVERAGE,위반,AI,,,,,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-019,GPT-25,Previous parent-path coverage,2,U,6–10,2턴이 1턴의 경로를 모두 이어 처리했는가?,2턴 답변이 보존되어 있지 않고 다음으로 식별되는 것은 3턴 입력과 응답이다.,현재 턴의 처리 대상을 확인할 수 없으므로 부모 누락을 확정할 수 없다. HR-014와 같은 기록 공백을 다른 관점에서 보는 항목이다.,3턴에 경로가 나온다는 것만으로 2턴의 처리를 추정하지 않는다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V25.pdf,b0a112a6a6dcc9a56fe67c8983a15f4e06a3034ebb03146ca406d11d3c476a8d,A2-GPT-25-T2_PARENT_COVERAGE,판정 불가,AI,,,,,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-020,GEM-01,Initial actor-setting compatibility,1,C,1–4,초기 미국 대안과 주요 선택이 기관별 목표·권한과 양립하는가?,"대통령의 절제된 위기관리와 봉쇄, 국방부의 군사 대안, 국무부의 다자외교를 구분한다. 강경 경로는 대통령이 설득되는 조건으로 설명한다.","각 대안이 서로 다른 우선순위와 연결되며, 기관의 제안과 최종 결정의 관계가 표현된다. 반드시 대통령의 기본 선호만 택해야 한다는 기준은 적용하지 않는다.",각 대안의 모든 예상 트리거나 소련 측 제약까지 승인한 것은 아니다. 이 항목은 미국 초기 설정의 제한적 대응이다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Gemini_2.5_Flash/1.pdf,60b683fad5d8af65fc9934a49a4bc262b5f63f9c4271a5c57f250c9a4cd86edc,A2-GEM-01-T1_US_ROLE,준수,AI,,,,,"For both the United States and the Soviet Union, identify 2-3 'realistic and plausible' alternative strategic actions for the current event, and for each alternative, clearly state the rationale based on the JSON information.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-021,GEM-04,Local alternative-pair generation,2,C,8–14,2턴에서 각 처리 경로에 추가 행동 조합이 있는가?,"첫 경로는 세 조합, 둘째는 두 조합, 셋째는 세 조합을 제시한다. 각 조합에는 양측의 다른 행동 선택이 포함된다.",세 경로 모두 주조합과 최소 한 개의 추가 조합을 갖는다. 추가 조합이 본문에 서술되고 별도 로그가 없다는 이유만으로 생성 자체를 부정하지 않는다.,경로별 로그의 완결성은 별도 질문이다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Gemini_2.5_Flash/4.pdf,b9f04fc684f85dd185114908f8a63c8a1d06480aa75654a33e7708e5a460a0da,A2-GEM-04-T2_BRANCH,준수,AI,,,,,"For each 'scenario combination', specify 1 'most plausible' combination of strategic actions for this Turn, and additionally 1-2 'alternative plausible paths' (totaling 2-3 combinations) that could lead to different realistic outcomes.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-022,GEM-15,Local alternative-pair generation,4,V,13–17,4턴의 각 부모 경로 안에서 추가 조합을 생성했는가?,"세 결과로그에 각각 한 쌍의 미국·소련 선택만 있다. Alternative Path A/B라는 명칭은 기존 경로 가족을 가리키며, 각 가족 내부의 추가 조합이 아니다.",서로 다른 이전 경로 셋을 한 번씩 이어 쓴 것만으로 각 경로에서 추가 대안을 만들라는 요구를 충족할 수 없다.,제목의 Alternative라는 단어 수를 세지 않고 실제 부모–자식 관계를 본 판정이다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Gemini_2.5_Flash/15.pdf,cd82705ab9c0dc918addd8d0c11cdce02690709153d644f9d712a416f7620010,GEM-15-SEM2-T4_BRANCH,위반,AI,,,,,"For each 'scenario combination', specify 1 'most plausible' combination of strategic actions for this Turn, and additionally 1-2 'alternative plausible paths' (totaling 2-3 combinations) that could lead to different realistic outcomes.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
