relative_result,run1_sha256,run2_sha256,packaged_sha256,all_equal
diagnostic/diagnostic_core_linkage.csv,02a0fc03d504e31cbe1ca73b197b166662270fccfa3828248fcc0072bc0f73bb,02a0fc03d504e31cbe1ca73b197b166662270fccfa3828248fcc0072bc0f73bb,02a0fc03d504e31cbe1ca73b197b166662270fccfa3828248fcc0072bc0f73bb,True
diagnostic/diagnostic_counts.csv,13cbe23a04d58a58ccac78b66eb3c607630c8ca226b73e2eba6710aac0dc4d78,13cbe23a04d58a58ccac78b66eb3c607630c8ca226b73e2eba6710aac0dc4d78,13cbe23a04d58a58ccac78b66eb3c607630c8ca226b73e2eba6710aac0dc4d78,True
diagnostic/diagnostic_missing_response_dependencies.csv,e2ccf1627a5031143575c691a98bf1941be343e0007e53d10a4844fc65cb6cc9,e2ccf1627a5031143575c691a98bf1941be343e0007e53d10a4844fc65cb6cc9,e2ccf1627a5031143575c691a98bf1941be343e0007e53d10a4844fc65cb6cc9,True
diagnostic/diagnostic_reproduction.json,053c10ab5b2f751c34462ef4020b44c6f93db3a4997054152778350d4314471e,053c10ab5b2f751c34462ef4020b44c6f93db3a4997054152778350d4314471e,053c10ab5b2f751c34462ef4020b44c6f93db3a4997054152778350d4314471e,True
diagnostic/diagnostic_u_reason_counts.csv,ac5e11ce8cfab47634042a55caae0de434b297cb96c12308b1d1a491bf634666,ac5e11ce8cfab47634042a55caae0de434b297cb96c12308b1d1a491bf634666,ac5e11ce8cfab47634042a55caae0de434b297cb96c12308b1d1a491bf634666,True
independent_crosscheck.json,6b08a3e7b1515a8f4e3b4e47c915b788a02504a75df9931441c8a2b1953ba0b8,6b08a3e7b1515a8f4e3b4e47c915b788a02504a75df9931441c8a2b1953ba0b8,6b08a3e7b1515a8f4e3b4e47c915b788a02504a75df9931441c8a2b1953ba0b8,True
legacy_fixed/deterministic_check_details.csv,8b230bdd372a6d71d5d82cf4aa5814d248d0634963b040930af3497f60890b4a,8b230bdd372a6d71d5d82cf4aa5814d248d0634963b040930af3497f60890b4a,8b230bdd372a6d71d5d82cf4aa5814d248d0634963b040930af3497f60890b4a,True
legacy_fixed/differences.csv,cdf16c4719646e37235f8de16987d716b96f3f465bb7d8cb917d389ef19be867,cdf16c4719646e37235f8de16987d716b96f3f465bb7d8cb917d389ef19be867,cdf16c4719646e37235f8de16987d716b96f3f465bb7d8cb917d389ef19be867,True
legacy_fixed/domain_results.csv,b92f16588aca5d06a5e9b5470e48627c0bb730cfedb75a79847c05cfddfaa643,b92f16588aca5d06a5e9b5470e48627c0bb730cfedb75a79847c05cfddfaa643,b92f16588aca5d06a5e9b5470e48627c0bb730cfedb75a79847c05cfddfaa643,True
legacy_fixed/local_case_calculations.csv,e08aef757b4046f18d35cbed77f609974e6d8a8f8ae7bc4f85d1ad07449a6fa5,e08aef757b4046f18d35cbed77f609974e6d8a8f8ae7bc4f85d1ad07449a6fa5,e08aef757b4046f18d35cbed77f609974e6d8a8f8ae7bc4f85d1ad07449a6fa5,True
legacy_fixed/reconciliation_summary.json,fdb76c6f9c7797e8e9d0aec340c5827f5aeba658514cd53b82f0ddf23ddcb96c,fdb76c6f9c7797e8e9d0aec340c5827f5aeba658514cd53b82f0ddf23ddcb96c,fdb76c6f9c7797e8e9d0aec340c5827f5aeba658514cd53b82f0ddf23ddcb96c,True
legacy_fixed/run_subcontrol_status.csv,5a48b4ce2131ffa4a5cd2514f50e3d302714ea8b8bee9d8814407131b576f483,5a48b4ce2131ffa4a5cd2514f50e3d302714ea8b8bee9d8814407131b576f483,5a48b4ce2131ffa4a5cd2514f50e3d302714ea8b8bee9d8814407131b576f483,True
legacy_fixed/technical_results.json,361bdddb138c098aa7e507aae2d63efd91caec458c80c46620e5ebd0f4d47ef4,361bdddb138c098aa7e507aae2d63efd91caec458c80c46620e5ebd0f4d47ef4,361bdddb138c098aa7e507aae2d63efd91caec458c80c46620e5ebd0f4d47ef4,True
marker_summary.csv,e756d2bc4e4f866c15d49ecfa6ca11007bb974ea522f3ce279cce8b6aa8a3ab3,e756d2bc4e4f866c15d49ecfa6ca11007bb974ea522f3ce279cce8b6aa8a3ab3,e756d2bc4e4f866c15d49ecfa6ca11007bb974ea522f3ce279cce8b6aa8a3ab3,True
revision17_summary.json,fff39b67eae93fcee49e4f0801d8f2db1a219387b9d8255175b8d488435891bc,fff39b67eae93fcee49e4f0801d8f2db1a219387b9d8255175b8d488435891bc,fff39b67eae93fcee49e4f0801d8f2db1a219387b9d8255175b8d488435891bc,True
survey/survey_summary_reproduced.json,ec4bfeafd77df4a0be13eacc91017d3c07a72d2392e8e54584a22b21bbd58155,ec4bfeafd77df4a0be13eacc91017d3c07a72d2392e8e54584a22b21bbd58155,ec4bfeafd77df4a0be13eacc91017d3c07a72d2392e8e54584a22b21bbd58155,True
survey/table_c1_reproduced.csv,2725bd91a74cb3fe393beaf62e7f466b19491ebcdb6a23b31ee4d3b32e094154,2725bd91a74cb3fe393beaf62e7f466b19491ebcdb6a23b31ee4d3b32e094154,2725bd91a74cb3fe393beaf62e7f466b19491ebcdb6a23b31ee4d3b32e094154,True
table4.csv,67f2fdafa6ffd2350c3c1a11dd7fe9f6060f86b03e7dedc66bbb41c7a3a3b7b1,67f2fdafa6ffd2350c3c1a11dd7fe9f6060f86b03e7dedc66bbb41c7a3a3b7b1,67f2fdafa6ffd2350c3c1a11dd7fe9f6060f86b03e7dedc66bbb41c7a3a3b7b1,True
top1/table_b1_counts.csv,cb9fdf5c0179837141b7bd8c368a79f33d414578afcbfb810cf939ef00db3eeb,cb9fdf5c0179837141b7bd8c368a79f33d414578afcbfb810cf939ef00db3eeb,cb9fdf5c0179837141b7bd8c368a79f33d414578afcbfb810cf939ef00db3eeb,True
top1/table_b1_percentages.csv,ea0aceec7736e7093c6a388d16c630b0f2753d26f340a82d403e7096e3812169,ea0aceec7736e7093c6a388d16c630b0f2753d26f340a82d403e7096e3812169,ea0aceec7736e7093c6a388d16c630b0f2753d26f340a82d403e7096e3812169,True
top1/top1_reproduction.json,7844fb1c195c7b85b1270bcffebaa32cb7e717cf9dd95ac146321d126d5a336b,7844fb1c195c7b85b1270bcffebaa32cb7e717cf9dd95ac146321d126d5a336b,7844fb1c195c7b85b1270bcffebaa32cb7e717cf9dd95ac146321d126d5a336b,True
top1/withheld_cases.csv,2cacb4fb9a592e8dcc350a6e24d6ecf1740f39ea78015df89ad1982688a61bc3,2cacb4fb9a592e8dcc350a6e24d6ecf1740f39ea78015df89ad1982688a61bc3,2cacb4fb9a592e8dcc350a6e24d6ecf1740f39ea78015df89ad1982688a61bc3,True
turn_summary.csv,58b1872db3f91d11fa6f410db8e82983fa7cbe625f93f41752182967b0f30475,58b1872db3f91d11fa6f410db8e82983fa7cbe625f93f41752182967b0f30475,58b1872db3f91d11fa6f410db8e82983fa7cbe625f93f41752182967b0f30475,True
