original_name,original_sha256,package_relative_path,role,historical_derivation_statement,public_copy_sha256,derivation
effect_independent_calculations.csv,bf107f60016d0f9e8ad275dc890269495d3f13badec0337fae7d3d207fb474a3,data/supplemental_partial/effect_independent_calculations.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,bf107f60016d0f9e8ad275dc890269495d3f13badec0337fae7d3d207fb474a3,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
actor_later_360_scope.csv,1255172be754bba6490118c59b5d7bc4a78b4b3d4efd9f680ad058e07f768857,data/supplemental_partial/actor_later_360_scope.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,1255172be754bba6490118c59b5d7bc4a78b4b3d4efd9f680ad058e07f768857,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
actor_later_actor_branch_coverage.csv,d949b3ce6713d35ecc57fb3377a7e14c220f91b1914e5b5fd79c045a76b90da1,data/supplemental_partial/actor_later_actor_branch_coverage.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,d949b3ce6713d35ecc57fb3377a7e14c220f91b1914e5b5fd79c045a76b90da1,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
effect_review_coverage.csv,3cc02b487596f78ec34e7a7b540393b325833ed37de330a72328ead5da49b4dc,data/supplemental_partial/effect_review_coverage.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,3cc02b487596f78ec34e7a7b540393b325833ed37de330a72328ead5da49b4dc,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
effect_supplemental_coverage.csv,7f2d46bf4b049bcdccd6546660820e375f63ae79f6d7533e1f37ea7347799593,data/supplemental_partial/effect_supplemental_coverage.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,7f2d46bf4b049bcdccd6546660820e375f63ae79f6d7533e1f37ea7347799593,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
threshold_action_coverage.csv,3c096fda3db24a0074e5c42558a7efc5ba37f4189483982e99d114cb0941b29a,data/supplemental_partial/threshold_action_coverage.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,3c096fda3db24a0074e5c42558a7efc5ba37f4189483982e99d114cb0941b29a,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
threshold_branch_inventory.csv,d789394708d45963c329c70ab20c498398d19223bb488d3d7fa20beeaf80189e,data/supplemental_partial/threshold_branch_inventory.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,d789394708d45963c329c70ab20c498398d19223bb488d3d7fa20beeaf80189e,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
narrative_coverage.csv,5cfc25b3528e0d94be9249f7af9e48c4f068130f701dae45163c9e1ab80ab999,data/supplemental_partial/narrative_coverage.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,5cfc25b3528e0d94be9249f7af9e48c4f068130f701dae45163c9e1ab80ab999,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
inheritance_legacy_coverage.csv,2b3770e9049d20f15177eaba6afd608c0b713b4ce38b0b7741f759d5dffea259,data/supplemental_partial/inheritance_legacy_coverage.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,d9410ee38a26031269b89700459afa1e405f0c6b24e5e899c9f23c3b331dc3c3,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
semantic_phase_inventory.csv,9eee26419bb2e7d701dc02491c141a7c67cf72b6811d3c2156750c1ed8d6a7a5,data/supplemental_partial/semantic_phase_inventory.csv,"coverage and unreviewed inventory, not additional tested observations",Byte-identical copy,c488f94be0e04b2a61d5d3ae25644100190789f9c9cbad77523713aec3481a29,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
parent_edges.csv,d20e4f0380633a95916976e849018b06a4a99f7d19103a17c03cb54e118ab19e,annotations/parent_edges.csv,fixed parent linkage; not all freshly validated,Byte-identical copy,5ab9062e651e168f3174a94dceca01d5bccd976298d79e2e2fbd9f9a6f95b9a8,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
control_requirements.csv,9e9e8a786185e0d90f296a6f50d7df73d9c226d5e5ffc169fcf1cb7409b01d77,protocol/control_requirements.csv,original-rule quotation or archived operational audit policy,Byte-identical copy,59bddbd663c1a234b69794f45d6e2ddf7f701eb598dff2e42c1a59e11657cf47,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
supplemental_ahp_requirements.csv,6f693b7bf39d6427af381d6f4ea43d46e950ef7e8f6a382541bee3a4f9f3b1cb,protocol/supplemental_ahp_requirements.csv,original-rule quotation or archived operational audit policy,Byte-identical copy,6f693b7bf39d6427af381d6f4ea43d46e950ef7e8f6a382541bee3a4f9f3b1cb,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
effect_review_policy.md,30f9e6eda5bf3cd034c15bac8bc862a0bd25a300e2459ad6f05233e81dc319f2,protocol/effect_review_policy.md,original-rule quotation or archived operational audit policy,Byte-identical copy,30f9e6eda5bf3cd034c15bac8bc862a0bd25a300e2459ad6f05233e81dc319f2,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
actor_later_policy.md,0e7bca4f962b0eccb27a22d9cd62f65dc4ccc6e763efbad49d1af18facd71479,protocol/actor_later_policy.md,original-rule quotation or archived operational audit policy,Byte-identical copy,0e7bca4f962b0eccb27a22d9cd62f65dc4ccc6e763efbad49d1af18facd71479,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
effect_semantics.json,19c7316191f21a8e43a8169ea52c07cd879cf47666fac7df73dcc3667dbd9c51,annotations/effect_semantics.json,frozen semantic/calculation annotations used by deterministic replay,Byte-identical copy,4326f9cfdd4977ef691fe60bb10e9de48e8deda8bbdd5082eff2b84608d6897a,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
threshold_action_anchors.json,4bd97d868fdbe9582c5a01fd6ca912f8c9dc57c2372b8374efd04efaa1a11f34,annotations/threshold_action_anchors.json,frozen semantic/calculation annotations used by deterministic replay,Byte-identical copy,4bd97d868fdbe9582c5a01fd6ca912f8c9dc57c2372b8374efd04efaa1a11f34,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
narrative_anchors.json,237ae07c33c096e21804715067fca7b216b4e8211821a6e994b74895df9e2d5f,annotations/narrative_anchors.json,frozen semantic/calculation annotations used by deterministic replay,Byte-identical copy,237ae07c33c096e21804715067fca7b216b4e8211821a6e994b74895df9e2d5f,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
pending_effect_findings.json,b991b1a2629f0075229106b93e19d01cf08cff6c75f6c98887c1485c46effb3d,data/diagnostic_only/pending_effect_findings.json,unfinalized adverse findings; never counted as completed checks,Byte-identical copy,b991b1a2629f0075229106b93e19d01cf08cff6c75f6c98887c1485c46effb3d,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
01_validation_ledger.csv,370708c439be2d0495daeaed31edcca2d9bcf65e2a4c2daee29f0be7c153e75f,data/diagnostic_only/v1_arithmetic_subset.csv,diagnostic original; selected exact arithmetic domain only,Arithmetic domain subset with original columns/IDs,0ff0c7901e28b633a719029fac2f51a9f4af12b8f24b12e8659f8e86baa6a011,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
numeric_reextracted_ledger.csv,07b9c1b07af3b1e49a52e407ff9967e56518edd89fc4197cf470e07252b9ad8f,data/diagnostic_only/v3_arithmetic_candidates_subset.csv,diagnostic original; selected exact arithmetic domain only,Arithmetic domain subset with original columns/IDs,3b89159b92958b40e3039858529d1d934c0a7a4eb7066557c1ae6a62e5edf7d0,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
