requirement_id,source_file,json_path_or_page,original_requirement,type,applicability,expected_observable,decision_method,ambiguity,input_version,domain,actor,audit_rule_id
US-A01-CONSTRAINT01,actor_json/us_gpt.json,$.actors[0].constraints[0],"Danger of rapid escalation to nuclear war if the U.S. acts too aggressively (even a successful strike might not get all missiles, risking a surviving nuclear launch at American cities):contentReference[oaicite:6]{index=6}",조건부 규칙,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 조건이 성립하는 행동·대안,해당 제약을 반영한 행동 및 제한·승인·정보 상태,"인간 검토: 해당 행위자의 제안·선택·행동·이유 및 조건 성립을 원문 인용으로 대조. 자기진술은 증거로 사용하지 않음. 명백한 반대 행동만 위반, 관찰 부족/충돌은 판정 불가.",상황·위험·자원상의 제약으로 코딩. 모든 위험행동의 절대 금지로 해석하지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-CONSTRAINT
US-A01-CONSTRAINT02,actor_json/us_gpt.json,$.actors[0].constraints[1],"Limited time before the Soviet missiles become operational; pressure to act quickly before the threat grows (military advised missiles could be ready in about a week, creating urgency for a U.S. response):contentReference[oaicite:7]{index=7}",조건부 규칙,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 조건이 성립하는 행동·대안,해당 제약을 반영한 행동 및 제한·승인·정보 상태,"인간 검토: 해당 행위자의 제안·선택·행동·이유 및 조건 성립을 원문 인용으로 대조. 자기진술은 증거로 사용하지 않음. 명백한 반대 행동만 위반, 관찰 부족/충돌은 판정 불가.",상황·위험·자원상의 제약으로 코딩. 모든 위험행동의 절대 금지로 해석하지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-CONSTRAINT
US-A01-CONSTRAINT03,actor_json/us_gpt.json,$.actors[0].constraints[2],"Domestic political pressure to be strong on Cuba – critics invoke the Monroe Doctrine and accuse any delay or negotiation of being weak:contentReference[oaicite:8]{index=8}, while the upcoming midterm elections heighten the need to not appear indecisive.",조건부 규칙,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 조건이 성립하는 행동·대안,해당 제약을 반영한 행동 및 제한·승인·정보 상태,"인간 검토: 해당 행위자의 제안·선택·행동·이유 및 조건 성립을 원문 인용으로 대조. 자기진술은 증거로 사용하지 않음. 명백한 반대 행동만 위반, 관찰 부족/충돌은 판정 불가.",상황·위험·자원상의 제약으로 코딩. 모든 위험행동의 절대 금지로 해석하지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-CONSTRAINT
US-A01-DECISION_RULE,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.decision_rule,"Balanced crisis management: weigh military and diplomatic options via ExComm deliberations, then choose the course that achieves missile removal with acceptable risk. Kennedy tends to pick a middle course (e.g. quarantine) that addresses the threat but leaves room to escalate if needed:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10}. He seeks consensus among advisers but will override extremes (either appeasement or reckless attack) to follow a pragmatic path.",수행 절차·출력 형식,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 대안 평가·선택,실제 대안의 비교·선택 근거에 의사결정 방식/효용 성분이 반영됨,"인간 검토: 해당 행위자의 제안·선택·행동·이유 및 조건 성립을 원문 인용으로 대조. 자기진술은 증거로 사용하지 않음. 명백한 반대 행동만 위반, 관찰 부족/충돌은 판정 불가.",효용 성분의 측정값/척도 또는 연산식이 없으면 효용 최적화 성공으로 판정할 수 없음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-DECISION
US-A01-UTILITY_FORMULA,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.utility_formula,"U = f(removing Cuban missiles, avoiding nuclear confrontation, upholding U.S. strategic credibility, maintaining allied support). In essence, he maximizes security (eliminating the immediate nuclear threat) and survival (minimizing risk of catastrophic war), while also considering political costs. For example, an option’s “utility” increases if it removes the missiles and preserves peace; it decreases if it risks uncontrolled escalation or allied fracture:contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12}.",가중치·수치 계산,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 대안 평가·선택,실제 대안의 비교·선택 근거에 의사결정 방식/효용 성분이 반영됨,구체적 성분값·척도·연산식이 모두 기록된 경우 Python 계산. 함수 f(...) 또는 미정 계수/성분은 정성 근거 대조 및 판정 불가.,효용 성분의 측정값/척도 또는 연산식이 없으면 효용 최적화 성공으로 판정할 수 없음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-DECISION
US-A01-WEIGHT-national_security,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.priority_weights.national_security,0.4,가중치·수치 계산,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 효용 평가,선택 근거에서 해당 효용 성분의 상대적 중요성 반영; 노출된 수치만 재계산,값·성분·집계식이 확인된 경우에만 재계산. 완전한 식이 없으면 수치준수 판정 불가.,가중치가 선택확률을 뜻하지 않음. 명시되지 않은 정규화 합=1 규칙을 추가하지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-WEIGHT
US-A01-WEIGHT-avoid_nuclear_war,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.priority_weights.avoid_nuclear_war,0.3,가중치·수치 계산,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 효용 평가,선택 근거에서 해당 효용 성분의 상대적 중요성 반영; 노출된 수치만 재계산,값·성분·집계식이 확인된 경우에만 재계산. 완전한 식이 없으면 수치준수 판정 불가.,가중치가 선택확률을 뜻하지 않음. 명시되지 않은 정규화 합=1 규칙을 추가하지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-WEIGHT
US-A01-WEIGHT-alliance_management,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.priority_weights.alliance_management,0.2,가중치·수치 계산,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 효용 평가,선택 근거에서 해당 효용 성분의 상대적 중요성 반영; 노출된 수치만 재계산,값·성분·집계식이 확인된 경우에만 재계산. 완전한 식이 없으면 수치준수 판정 불가.,가중치가 선택확률을 뜻하지 않음. 명시되지 않은 정규화 합=1 규칙을 추가하지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-WEIGHT
US-A01-WEIGHT-domestic_opinion,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.priority_weights.domestic_opinion,0.1,가중치·수치 계산,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 효용 평가,선택 근거에서 해당 효용 성분의 상대적 중요성 반영; 노출된 수치만 재계산,값·성분·집계식이 확인된 경우에만 재계산. 완전한 식이 없으면 수치준수 판정 불가.,가중치가 선택확률을 뜻하지 않음. 명시되지 않은 정규화 합=1 규칙을 추가하지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-WEIGHT
US-A01-TRIGGER01,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.trigger_thresholds[0],"Confirmed deployment of nuclear warheads in Cuba (if intelligence showed Soviet warheads ready on the island, it would trigger immediate consideration of more drastic action, such as air strikes or invasion, given the imminent direct threat)",조건부 규칙,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 원문 trigger 전건이 성립한 경우,전건 성립 시 원문에 명시된 준비·검토·협상·행동 변화,"인간 검토: 해당 행위자의 제안·선택·행동·이유 및 조건 성립을 원문 인용으로 대조. 자기진술은 증거로 사용하지 않음. 명백한 반대 행동만 위반, 관찰 부족/충돌은 판정 불가.",조건의 의미와 실제 성립 여부는 인간 검토; may/consider/prefer를 필수 실행으로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-TRIGGER
US-A01-TRIGGER02,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.trigger_thresholds[1],"Failure of the quarantine or a direct Soviet military challenge – e.g., if Soviet forces refuse to halt and there is a clash, or if no progress is made after a few days – would push Kennedy to reevaluate and potentially move to an air strike/invasion plan:contentReference[oaicite:13]{index=13}",조건부 규칙,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 원문 trigger 전건이 성립한 경우,전건 성립 시 원문에 명시된 준비·검토·협상·행동 변화,"인간 검토: 해당 행위자의 제안·선택·행동·이유 및 조건 성립을 원문 인용으로 대조. 자기진술은 증거로 사용하지 않음. 명백한 반대 행동만 위반, 관찰 부족/충돌은 판정 불가.",조건의 의미와 실제 성립 여부는 인간 검토; may/consider/prefer를 필수 실행으로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-TRIGGER
US-A01-TRIGGER03,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.trigger_thresholds[2],"Loss of allied support or legitimacy (for instance, if NATO or the Organization of American States refused to back U.S. actions) could force a change in strategy to either secure international backing or adjust the U.S. approach to avoid isolation",조건부 규칙,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 원문 trigger 전건이 성립한 경우,전건 성립 시 원문에 명시된 준비·검토·협상·행동 변화,"인간 검토: 해당 행위자의 제안·선택·행동·이유 및 조건 성립을 원문 인용으로 대조. 자기진술은 증거로 사용하지 않음. 명백한 반대 행동만 위반, 관찰 부족/충돌은 판정 불가.",조건의 의미와 실제 성립 여부는 인간 검토; may/consider/prefer를 필수 실행으로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-TRIGGER
US-A02-STANCE,actor_json/us_gpt.json,$.actors[1].stance,"Favor a diplomatic solution backed by multilateral support. The State Department advocates first halting the Soviet buildup through a negotiated pause and international inspections (a ""missile standstill"" under United Nations oversight):contentReference[oaicite:14]{index=14}. They support the President’s quarantine as a means to pressure the USSR, but ultimately seek a settlement that removes the missiles without war – for example, via UN diplomacy or East-West negotiations. In internal debates, diplomats like Rusk and UN Ambassador Adlai Stevenson emphasize negotiation and working with allies (OAS/UN) over unilateral military action.",선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,stance에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-PREFERENCE
US-A02-IDEOLOGY,actor_json/us_gpt.json,$.actors[1].ideology,"Liberal internationalist worldview – prioritizes alliances, international law, and collective security. State Department actors believe in upholding treaty obligations and the moral high ground; they see the crisis through the lens of containment but with a preference for diplomacy and alliance unity. They are committed to the idea that U.S. actions should be justified in the court of world opinion (e.g., obtaining Organization of American States support and presenting evidence at the UN):contentReference[oaicite:15]{index=15}.",선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,ideology에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-PREFERENCE
US-A02-RISK_TOLERANCE,actor_json/us_gpt.json,$.actors[1].risk_tolerance,low,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,risk_tolerance에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-PREFERENCE
US-A02-CONFLICT_AVOIDANCE,actor_json/us_gpt.json,$.actors[1].conflict_avoidance,high,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,conflict_avoidance에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-PREFERENCE
US-A02-DIPLOMACY_PREFERENCE,actor_json/us_gpt.json,$.actors[1].diplomacy_preference,high,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,diplomacy_preference에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-PREFERENCE
US-A02-MILITARY_PREFERENCE,actor_json/us_gpt.json,$.actors[1].military_preference,low,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,military_preference에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-PREFERENCE
US-A02-POWER,actor_json/us_gpt.json,$.actors[1].power_weight,0.2,가중치·수치 계산,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 국내 의사결정 조합·선택,해당 영향력 값을 사용한 선택 근거; 수식이 제공된 경우에 한해 재계산,값 인용·계산식이 노출된 부분만 독립 검산. 정의되지 않은 선택확률·최다득표 규칙을 생성하지 않음.,국가수준 권력비중의 실제 집계·효용 결합·샘플링 알고리즘이 명시되지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-WEIGHT
US-A02-GOAL01,actor_json/us_gpt.json,$.actors[1].goals[0],"Secure an immediate freeze of the Soviet missile threat in Cuba (no further construction or incoming weaponry), verified by international inspectors, as a precursor to missile removal:contentReference[oaicite:16]{index=16}",선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 선택,목표를 추구하거나 다른 명시 목표와의 절충을 보여 주는 선택·이유,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,목표 달성의 실패는 그 자체로 준수 위반이 아님.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-GOAL
US-A02-GOAL02,actor_json/us_gpt.json,$.actors[1].goals[1],"Achieve the removal of Soviet missiles from Cuba through negotiation or pressure short of war – ideally with a face-saving arrangement for all sides (for instance, a possible trade or assurance that could peacefully resolve the standoff)",선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 선택,목표를 추구하거나 다른 명시 목표와의 절충을 보여 주는 선택·이유,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,목표 달성의 실패는 그 자체로 준수 위반이 아님.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-GOAL
US-A02-GOAL03,actor_json/us_gpt.json,$.actors[1].goals[2],Maintain allied and international support for the U.S. response. This includes preserving the integrity of hemispheric alliances (invoking the Rio Treaty/OAS so Latin American nations back the U.S. quarantine) and consulting NATO allies to prevent a rift:contentReference[oaicite:17]{index=17},선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 선택,목표를 추구하거나 다른 명시 목표와의 절충을 보여 주는 선택·이유,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,목표 달성의 실패는 그 자체로 준수 위반이 아님.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,Department of State (Sec. Dean Rusk & Diplomats),ACTOR-GOAL
