check_id,run_id,source_file,page,turn,branch,actor,variable,requirement_id,domain,unit,status,reported_value,recomputed_value,evidence,reason,method,uncertainty,human_review_required,numeric_comparison_status,extraction,candidate_only,review_completed
PDFIUM-CLA-03-N-00016,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,7,1,Combination 1,,Leadership_Unity,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• leadership_unity: 0.5 + 0.8 = 1.0 (clamped to 1.0),"명시 산식 0.5 + 0.8 = 1.3; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00025,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,8,1,Combination 2,,Tension,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• tension: 0.5 + 0.15 + 0.45 = 1.0 (clamped to 1.0),"명시 산식 0.5 + 0.15 + 0.45 = 1.1; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00028,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,8,1,Combination 2,,Diplomatic_Support,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.45,0.45,• diplomatic_support: 0.5 - 0.05 = 0.45,"명시 산식 0.5 - 0.05 = 0.45; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00031,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,8,1,Combination 2,,Public_Opinion,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.45,0.45,• public_opinion: 0.5 - 0.05 = 0.45,"명시 산식 0.5 - 0.05 = 0.45; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00034,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,8,1,Combination 2,,Leadership_Unity,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• leadership_unity: 0.5 - 0.10 + 0.65 = 1.0 (clamped to 1.0),"명시 산식 0.5 - 0.10 + 0.65 = 1.05; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00042,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,9,1,Combination 3,,Tension,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.9,0.9,• tension: 0.5 - 0.05 + 0.45 = 0.90,"명시 산식 0.5 - 0.05 + 0.45 = 0.9; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00045,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,9,1,Combination 3,,Diplomatic_Support,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• diplomatic_support: 0.5 + 0.10 + 0.6 = 1.0 (clamped to 1.0),"명시 산식 0.5 + 0.10 + 0.6 = 1.2; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00048,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,9,1,Combination 3,,Public_Opinion,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.55,0.55,• public_opinion: 0.5 + 0.05 = 0.55,"명시 산식 0.5 + 0.05 = 0.55; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00051,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,9,1,Combination 3,,Leadership_Unity,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.55,0.55,• leadership_unity: 0.5 + 0.05 = 0.55,"명시 산식 0.5 + 0.05 = 0.55; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00081,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,14,2,Combination 1,,Tension,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• tension: 1.0 + 0.05 - 0.05 = 1.0,"명시 산식 1.0 + 0.05 - 0.05 = 1; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00084,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,14,2,Combination 1,,Diplomatic_Support,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• diplomatic_support: 1.0 - 0.02 + 0.10 = 1.0 (clamped),"명시 산식 1.0 - 0.02 + 0.10 = 1.08; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00087,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,14,2,Combination 1,,Public_Opinion,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.53,0.53,• public_opinion: 0.5 - 0.02 + 0.05 = 0.53,"명시 산식 0.5 - 0.02 + 0.05 = 0.53; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00090,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,14,2,Combination 1,,Leadership_Unity,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• leadership_unity: 1.0 - 0.05 + 0.05 = 1.0,"명시 산식 1.0 - 0.05 + 0.05 = 1; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00094,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,14,2,Combination 2,,Tension,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• tension: 1.0 + 0.05 + 0.45 = 1.0 (clamped),"명시 산식 1.0 + 0.05 + 0.45 = 1.5; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00097,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,14,2,Combination 2,,Diplomatic_Support,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.43,0.43,• diplomatic_support: 0.45 - 0.02 = 0.43,"명시 산식 0.45 - 0.02 = 0.43; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00100,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,14,2,Combination 2,,Public_Opinion,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.43,0.43,• public_opinion: 0.45 - 0.02 = 0.43,"명시 산식 0.45 - 0.02 = 0.43; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00103,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,14,2,Combination 2,,Leadership_Unity,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• leadership_unity: 1.0 - 0.05 + 0.65 = 1.0 (clamped),"명시 산식 1.0 - 0.05 + 0.65 = 1.6; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00110,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,15,2,Combination 3,,Tension,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.8,0.8,• tension: 0.90 - 0.05 - 0.05 = 0.80,"명시 산식 0.90 - 0.05 - 0.05 = 0.8; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00113,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,15,2,Combination 3,,Diplomatic_Support,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• diplomatic_support: 1.0 + 0.10 + 0.10 = 1.0 (clamped),"명시 산식 1.0 + 0.10 + 0.10 = 1.2; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00116,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,15,2,Combination 3,,Public_Opinion,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.65,0.65,• public_opinion: 0.55 + 0.05 + 0.05 = 0.65,"명시 산식 0.55 + 0.05 + 0.05 = 0.65; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00119,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,15,2,Combination 3,,Leadership_Unity,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,0.65,0.65,• leadership_unity: 0.55 + 0.05 + 0.05 = 0.65,"명시 산식 0.55 + 0.05 + 0.05 = 0.65; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00149,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,20,3,Combination 1,,Tension,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• tension: 1.0 + 0.15 - 0.05 - 0.05 = 1.0 (clamped),"명시 산식 1.0 + 0.15 - 0.05 - 0.05 = 1.05; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
PDFIUM-CLA-03-N-00152,CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,20,3,Combination 1,,Diplomatic_Support,VDM-CLAMP,명시 산술의 내부 일관성,명시 수식×변수,준수,1,1,• diplomatic_support: 1.0 - 0.05 + 0.10 + 0.10 = 1.0 (clamped),"명시 산식 1.0 - 0.05 + 0.10 + 0.10 = 1.15; 상태값은 VDM max(0,min(1,value))로 계산; 초기값/효과 선택의 정당성과 별개.",Python Decimal; 원문 명시값만,실제 입력 첨부 바이트는 미확인; 보존 VDM과 조건부 대조. 턴·분기는 명시 제목 기반 파싱이며 불완전/재명명 가능. 응답 전용 export 역할 추정; 당시 사용자 프롬프트 미보존. 입력 초기값 출처 및 사건 분류는 이 점검에서 입증하지 않음,아니오,,PDFium second extraction; role boundaries from reviewed records,True,False
