run_id,marker,component,regex,count,pages,first_excerpt
CLA-04,metadata_labels_present,model_identifier_label,(?:model|system)[ _-]?(?:name|version|identifier|id),0,,
CLA-04,metadata_labels_present,temperature_label,temperature,0,,
CLA-04,metadata_labels_present,top_p_label,top[_ -]?p,3,31;33,"trol, combined with military doctrine and automated responses, can create an unstoppable slide toward nuclear war. The scenario traces the breakdown of decision-making structures as each provocation trigg"
CLA-04,metadata_labels_present,seed_label,seed,0,,
CLA-04,metadata_labels_present,timestamp_label,(?:run|execution)[ _-]?(?:time|timestamp|date),0,,
CLA-04,independent_checker_phrase,checker_phrase,independent (?:rule|transition|state) checker|deterministic (?:recalculation|recomputation|validator),0,,
CLA-05,artifact_reference,artifact,\bJSON\b|Variable[-– ]Decision Matrix|\bVDM\b,13,1;2;4;5;6;7;8;11;13;16;18;23,ision Modeling ProtocolSharesoviet_gpt.json116 linesjsonus_gpt.json155 linesjsonVariable-Decision Matrix.json63 linesjsondiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p r e - b 
CLA-05,explicit_result_log_label,result_log,result[ _-]?log,6,5;6;7;13;20;27," JSON files, I'll calculate the variable changes for each strategic combination.RESULT LOG - Scenario 1: ""Most Plausible Path""United States •Selected Actor: United States•Selected Action: Naval Quarantine/Block"
CLA-05,all_four_state_dimensions,tension,tension,62,3;4;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;28;29;31;33;34;35;37;39;40,"iggers:•Inevitable: U.S. detection of heightened alert status, increased global tensions•Potential: Accidental engagement, NATO responseConflict AssessmentIf U.S. chooses military action while USSR continues"
CLA-05,all_four_state_dimensions,diplomatic_support_alias,diplomatic[ _-]?(?:support|room|engagement),64,4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;34;35;36,"e Impacts (per Variable-Decision Matrix):•Path 1: Tension +0.05 (Defense_Prep), Diplomatic_Support maintained•Path 2: Tension +0.10 (continued deployment), Diplomatic_Support -0.10•Path 3: Tension +0.15 (Strike), Leade"
CLA-05,all_four_state_dimensions,public_opinion,public[ _-]?opinion,49,6;7;8;9;11;12;14;15;16;17;18;19;21;22;23;24;25;26;28;29;32;34;39,"alert"")•diplomatic_support: No direct rule specified, maintaining current level•public_opinion: No direct change from military_alert•leadership_unity: +0.80 (based on US effect_rules ""military_alert"")Generated Trig"
CLA-05,all_four_state_dimensions,leadership_unity_alias,leadership[ _-]?(?:unity|cohesion),72,4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;30;31;32;33;35;37;41,"continued deployment), Diplomatic_Support -0.10•Path 3: Tension +0.15 (Strike), Leadership_Unity -0.10 for both sidesRetrydiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p"
CLA-05,trigger_or_threshold,trigger_or_threshold,trigger|threshold,112,2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;34;35;36;37;38;39;41," for middle-course options that leave room for escalation if needed.•Next Event Triggers:•Inevitable: Soviet response to blockade enforcement, international diplomatic reactions•Potential: Soviet ships attem"
CLA-05,variable_status_label,generic_variable_status,variable[ _-]?status,12,6;7;8;14;21;22;28;29,"esponse to diplomatic overture, Cuban concerns about Soviet commitmentRECONFIRM VARIABLE STATUS - Scenario 1Assuming starting values at 0.5:•tension: 0.75 (0.5 + 0.30 - 0.05)•diplomatic_support: 0.60 (0.5 + 0.10)•mi"
CLA-05,explicit_reconfirm_variable_status,explicit_reconfirmation,reconfirm(?:ed)?[ _-]?variable[ _-]?status,3,6;7;8,"rs: U.S. response to diplomatic overture, Cuban concerns about Soviet commitmentRECONFIRM VARIABLE STATUS - Scenario 1Assuming starting values at 0.5:•tension: 0.75 (0.5 + 0.30 - 0.05)•diplomatic_support: 0.60 (0.5 + 0.10)•mi"
CLA-05,metadata_labels_present,model_identifier_label,(?:model|system)[ _-]?(?:name|version|identifier|id),0,,
CLA-05,metadata_labels_present,temperature_label,temperature,0,,
CLA-05,metadata_labels_present,top_p_label,top[_ -]?p,1,38,e American decision to enforce selectively - allowing some ships through while stopping others - reflected the leadership's inability to maintain consistent policy. Military commanders grew frustrated wit
CLA-05,metadata_labels_present,seed_label,seed,0,,
CLA-05,metadata_labels_present,timestamp_label,(?:run|execution)[ _-]?(?:time|timestamp|date),0,,
CLA-05,independent_checker_phrase,checker_phrase,independent (?:rule|transition|state) checker|deterministic (?:recalculation|recomputation|validator),0,,
CLA-06,artifact_reference,artifact,\bJSON\b|Variable[-– ]Decision Matrix|\bVDM\b,7,1;2;6;7;8;9,ision Modeling ProtocolSharesoviet_gpt.json116 linesjsonus_gpt.json155 linesjsonVariable-Decision Matrix.json63 linesjsondiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p r e - b 
CLA-06,explicit_result_log_label,result_log,result[ _-]?log,7,6;7;13;20;26,"play: grid; grid-template-columns: repeat(1, minmax(0px, 1fr)); gap: 0.625rem;"">RESULT LOGS FOR TURN 1[RESULT LOG - Most Plausible Path]Scenario Combination Name: Most Plausible Path Selected Actors & Actions:•"
CLA-06,all_four_state_dimensions,tension,tension,86,3;4;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;33;35,"vitable: U.S. military counter-preparations•High Probability: Heightened global tensions, NATO response•Potential: Accidental escalation, tactical nuclear considerationsConflict Priority AssessmentWhen U.S. "
CLA-06,all_four_state_dimensions,diplomatic_support_alias,diplomatic[ _-]?(?:support|room|engagement),71,4;6;7;8;9;11;12;13;14;16;17;19;20;21;22;23;24;25;26;27;28;32,aving time for both parties.Variable Impact:•Tension: +0.05 (moderate increase)•Diplomatic Support: +0.05 (international engagement)•Public Opinion: Stable•Leadership Unity: Maintained2. Alternative Path 1: U.S. Air St
CLA-06,all_four_state_dimensions,public_opinion,public[ _-]?opinion,67,4;6;7;8;9;11;12;14;16;17;18;19;20;21;22;23;24;25;27;28, +0.05 (moderate increase)•Diplomatic Support: +0.05 (international engagement)•Public Opinion: Stable•Leadership Unity: Maintained2. Alternative Path 1: U.S. Air Strikes + Soviet Military AlertLogic: If Defense De
CLA-06,all_four_state_dimensions,leadership_unity_alias,leadership[ _-]?(?:unity|cohesion),86,4;6;7;8;9;10;11;12;13;14;16;17;19;20;21;22;24;25;26;27;28;29;32;33;37,se)•Diplomatic Support: +0.05 (international engagement)•Public Opinion: Stable•Leadership Unity: Maintained2. Alternative Path 1: U.S. Air Strikes + Soviet Military AlertLogic: If Defense Department hawks prevail (p
CLA-06,trigger_or_threshold,trigger_or_threshold,trigger|threshold,113,2;3;4;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;33;35;37;38,"val with acceptable risk while leaving room for escalation if needed.Next Event Triggers:•Inevitable: Soviet response to blockade (compliance or defiance)•High Probability: International diplomatic activity,"
CLA-06,variable_status_label,generic_variable_status,variable[ _-]?status,12,6;7;8;14;20;21;27,aching quarantine line•UN Security Council emergency session convened[RECONFIRM VARIABLE STATUS - Most Plausible Path]Starting from baseline 0.5 for all variables:United States:•tension: 0.8 (0.5 + 0.3)•diplomatic_s
CLA-06,explicit_reconfirm_variable_status,explicit_reconfirmation,reconfirm(?:ed)?[ _-]?variable[ _-]?status,3,6;7;8,hips approaching quarantine line•UN Security Council emergency session convened[RECONFIRM VARIABLE STATUS - Most Plausible Path]Starting from baseline 0.5 for all variables:United States:•tension: 0.8 (0.5 + 0.3)•diplomatic_s
CLA-06,metadata_labels_present,model_identifier_label,(?:model|system)[ _-]?(?:name|version|identifier|id),0,,
CLA-06,metadata_labels_present,temperature_label,temperature,0,,
CLA-06,metadata_labels_present,top_p_label,top[_ -]?p,0,,
CLA-06,metadata_labels_present,seed_label,seed,0,,
CLA-06,metadata_labels_present,timestamp_label,(?:run|execution)[ _-]?(?:time|timestamp|date),0,,
CLA-06,independent_checker_phrase,checker_phrase,independent (?:rule|transition|state) checker|deterministic (?:recalculation|recomputation|validator),0,,
CLA-07,artifact_reference,artifact,\bJSON\b|Variable[-– ]Decision Matrix|\bVDM\b,13,1;2;6;7;8;9;10;12;17;19,ision Modeling ProtocolSharesoviet_gpt.json116 linesjsonus_gpt.json155 linesjsonVariable-Decision Matrix.json63 linesjsondiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p r e - b 
CLA-07,explicit_result_log_label,result_log,result[ _-]?log,12,6;7;8;11;13;14;17;19;21;24;26;28,"pport: 0.7•public_opinion: 0.6•leadership_unity: 0.7COMBINATION 1: PRIMARY PATH[RESULT LOG - U.S. Quarantine + Soviet Deny/Negotiate]Scenario Combination Name: ""Measured Confrontation Path""Selected Actor: Unite"
CLA-07,all_four_state_dimensions,tension,tension,86,3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;30;31;32;33;34;38;39," (likely)•Military Alert: U.S. interpretation as escalation (likely), increased tension (inevitable), accidental incidents (possible)Conflict Priorities AssessmentWhen U.S. and Soviet actions conflict:•U.S. "
CLA-07,all_four_state_dimensions,diplomatic_support_alias,diplomatic[ _-]?(?:support|room|engagement),64,4;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;31,"calation control•Preserves face-saving options•Variable impacts: Tension +0.10, Diplomatic_Support maintained, Leadership_Unity stable2. Alternative Path 1: U.S. Air Strikes + Soviet Military AlertLogic: If U.S. milita"
CLA-07,all_four_state_dimensions,public_opinion,public[ _-]?opinion,61,6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;31;38;39;40;41,ion.Initial Variable Status (Turn 1 Start)•tension: 0.5•diplomatic_support: 0.7•public_opinion: 0.6•leadership_unity: 0.7COMBINATION 1: PRIMARY PATH[RESULT LOG - U.S. Quarantine + Soviet Deny/Negotiate]Scenario Com
CLA-07,all_four_state_dimensions,leadership_unity_alias,leadership[ _-]?(?:unity|cohesion),53,4;6;7;8;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;30,"-saving options•Variable impacts: Tension +0.10, Diplomatic_Support maintained, Leadership_Unity stable2. Alternative Path 1: U.S. Air Strikes + Soviet Military AlertLogic: If U.S. military pressure overwhelms Kenned"
CLA-07,trigger_or_threshold,trigger_or_threshold,trigger|threshold,124,2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;30;31;32;33;34;35;36;37, tolerance and high diplomacy preference.•Satisfies the need for action without triggering nuclear war•Allows escalation options if needed•Maintains international legitimacy through OAS support2. Immediate A
CLA-07,variable_status_label,generic_variable_status,variable[ _-]?status,13,6;7;8;11;13;15;18;20;21;24;26;28,ll calculate the variable changes for each strategic action combination.Initial Variable Status (Turn 1 Start)•tension: 0.5•diplomatic_support: 0.7•public_opinion: 0.6•leadership_unity: 0.7COMBINATION 1: PRIMARY PAT
CLA-07,explicit_reconfirm_variable_status,explicit_reconfirmation,reconfirm(?:ed)?[ _-]?variable[ _-]?status,12,6;7;8;11;13;15;18;20;21;24;26;28,ternational diplomatic pressure for negotiation (from diplomatic_room increase)[RECONFIRM VARIABLE STATUS - Combination 1]•tension: 0.5 + 0.75 = 1.0 (clamped to 1.0) •diplomatic_support: 0.7 (unchanged)•military_posture: Elev
CLA-07,metadata_labels_present,model_identifier_label,(?:model|system)[ _-]?(?:name|version|identifier|id),0,,
CLA-07,metadata_labels_present,temperature_label,temperature,0,,
CLA-07,metadata_labels_present,top_p_label,top[_ -]?p,6,3;31;33;37;39,et actions conflict:•U.S. Quarantine vs. Soviet Acceleration: U.S. prioritizes stopping incoming weapons (0.4 national security weight); Soviets prioritize mission completion (0.4 mission success weight)•
CLA-07,metadata_labels_present,seed_label,seed,0,,
CLA-07,metadata_labels_present,timestamp_label,(?:run|execution)[ _-]?(?:time|timestamp|date),0,,
CLA-07,independent_checker_phrase,checker_phrase,independent (?:rule|transition|state) checker|deterministic (?:recalculation|recomputation|validator),0,,
CLA-08,artifact_reference,artifact,\bJSON\b|Variable[-– ]Decision Matrix|\bVDM\b,8,1;2;6;7;8;14;18,ision Modeling ProtocolSharesoviet_gpt.json116 linesjsonus_gpt.json155 linesjsonVariable-Decision Matrix.json63 linesjsondiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p r e - b 
CLA-08,explicit_result_log_label,result_log,result[ _-]?log,6,6;7;13;20;26," effect rules, I will calculate variable changes for each strategic combination.RESULT LOG - Scenario 1: ""Primary Confrontation Path""Selected Actor: United StatesSelected Action: Naval Quarantine/Blockade with "
CLA-08,all_four_state_dimensions,tension,tension,90,3;4;6;7;8;9;10;11;12;13;14;15;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38," Operational missiles achieved, changing strategic balance•Potential: Increased tension triggering military alerts2. Propose Secret Negotiation for Face-Saving DealRationale: Khrushchev's behavior includes """
