execution_id,system,run_id,raw_log_path,final_outcome_5,final_outcome_3,tension,diplomatic_engagement,public_support,internal_unity,record_linkage_status,semantic_verification_status,source_branch,source_pdf_page,source_selection_rule
Claude_Opus_4-02,Claude Opus 4,2,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,Diplomatic resolution,Diplomatic resolution,0.15,0.95,0.6,0.6,indexed,unresolved,,,
Claude_Opus_4-03,Claude Opus 4,3,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.1,0.2,0.78,indexed,unresolved,,,
Claude_Opus_4-04,Claude Opus 4,4,runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,0.8,0.6,1.0,1.0,indexed,unresolved,,,
Claude_Opus_4-05,Claude Opus 4,5,runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,Limited conflict,Adverse non-diplomatic outcome,0.6,0.55,0.5,0.6,indexed,unresolved,,,
Claude_Opus_4-06,Claude Opus 4,6,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.35,0.8,0.65,0.65,indexed,unresolved,,,
Claude_Opus_4-07,Claude Opus 4,7,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,1.0,1.0,0.58,1.0,indexed,unresolved,,,
Claude_Opus_4-08,Claude Opus 4,8,runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.31,0.31,0.75,indexed,unresolved,,,
Claude_Opus_4-09,Claude Opus 4,9,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,0.85,1.0,0.7,0.65,indexed,unresolved,,,
Claude_Opus_4-10,Claude Opus 4,10,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,0.55,0.8,0.6,0.88,indexed,unresolved,,,
Claude_Opus_4-11,Claude Opus 4,11,runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.1,1.0,0.8,0.8,indexed,unresolved,,,
Claude_Opus_4-12,Claude Opus 4,12,runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.0,0.0,0.0,indexed,unresolved,,,
Claude_Opus_4-13,Claude Opus 4,13,runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,0.95,0.8,0.65,1.0,indexed,unresolved,,,
Claude_Opus_4-14,Claude Opus 4,14,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,Internal collapse,Adverse non-diplomatic outcome,0.9,0.53,0.66,0.46,indexed,unresolved,,,
Claude_Opus_4-15,Claude Opus 4,15,runs/raw_logs/Claude_Opus_4/15. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.45,0.88,0.68,0.75,indexed,unresolved,,,
Claude_Opus_4-16,Claude Opus 4,16,runs/raw_logs/Claude_Opus_4/16. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.45,0.71,0.66,0.6,indexed,unresolved,,,
Claude_Opus_4-17,Claude Opus 4,17,runs/raw_logs/Claude_Opus_4/17. Strategic Decision Modeling Protocol.pdf,Internal collapse,Adverse non-diplomatic outcome,0.98,0.36,0.31,0.15,indexed,unresolved,,,
Claude_Opus_4-18,Claude Opus 4,18,runs/raw_logs/Claude_Opus_4/18. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.75,0.53,0.58,0.5,indexed,unresolved,,,
Claude_Opus_4-19,Claude Opus 4,19,runs/raw_logs/Claude_Opus_4/19. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,0.5,0.71,0.64,0.57,indexed,unresolved,,,
Claude_Opus_4-20,Claude Opus 4,20,runs/raw_logs/Claude_Opus_4/20. Strategic Decision Modeling Protocol.pdf,Internal collapse,Adverse non-diplomatic outcome,1.0,0.35,0.85,0.2,indexed,unresolved,,,
Claude_Opus_4-21,Claude Opus 4,21,runs/raw_logs/Claude_Opus_4/21. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.3,0.955,0.835,0.8,indexed,unresolved,,,
Claude_Opus_4-22,Claude Opus 4,22,runs/raw_logs/Claude_Opus_4/22. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,1.0,0.4,0.53,0.36,indexed,unresolved,,,
Claude_Opus_4-23,Claude Opus 4,23,runs/raw_logs/Claude_Opus_4/23.Strategic Decision Modeling Protocol.pdf,Internal collapse,Adverse non-diplomatic outcome,1.0,0.35,0.25,0.01,indexed,unresolved,,,
Claude_Opus_4-24,Claude Opus 4,24,runs/raw_logs/Claude_Opus_4/24. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.95,0.45,0.33,0.6,indexed,unresolved,,,
Claude_Opus_4-25,Claude Opus 4,25,runs/raw_logs/Claude_Opus_4/25. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,0.825,0.6,0.55,0.78,indexed,unresolved,,,
Claude_Opus_4-26,Claude Opus 4,26,runs/raw_logs/Claude_Opus_4/26. Strategic Decision Modeling Protocol.pdf,Internal collapse,Adverse non-diplomatic outcome,0.795,0.65,0.55,0.51,indexed,unresolved,,,
Claude_Opus_4-27,Claude Opus 4,27,runs/raw_logs/Claude_Opus_4/27. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.75,0.48,0.53,0.45,indexed,unresolved,,,
Claude_Opus_4-28,Claude Opus 4,28,runs/raw_logs/Claude_Opus_4/28. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,0.9,0.63,0.5,0.73,indexed,unresolved,,,
Claude_Opus_4-29,Claude Opus 4,29,runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.15,0.3,0.75,indexed,unresolved,,,
Claude_Opus_4-30,Claude Opus 4,30,runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,Diplomatic resolution,Diplomatic resolution,0.35,0.91,0.69,0.65,indexed,unresolved,,,
Perplexity_RAG-01,Perplexity Pro,1,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.76,0.66,0.95,indexed,unresolved,,,
Perplexity_RAG-02,Perplexity Pro,2,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.73,0.63,0.95,indexed,unresolved,,,
Perplexity_RAG-03,Perplexity Pro,3,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,Diplomatic resolution,Diplomatic resolution,0.7,0.86,0.83,0.95,indexed,unresolved,,,
Perplexity_RAG-04,Perplexity Pro,4,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,Diplomatic resolution,Diplomatic resolution,0.35,0.88,0.68,0.65,indexed,unresolved,,,
Perplexity_RAG-05,Perplexity Pro,5,runs/raw_logs/Perplexity_RAG/5. You are a tool for modeling strategic decisions. A.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.48,0.48,0.35,indexed,unresolved,,,
Perplexity_RAG-06,Perplexity Pro,6,runs/raw_logs/Perplexity_RAG/6. Strategic Analysis of Soviet Missile Discovery in.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.38,0.38,0.95,indexed,unresolved,,,
Perplexity_RAG-07,Perplexity Pro,7,runs/raw_logs/Perplexity_RAG/7. Strategic Decision Modeling_ Soviet Missile Deploy.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.5,0.5,1.0,indexed,unresolved,,,
Perplexity_RAG-08,Perplexity Pro,8,runs/raw_logs/Perplexity_RAG/8. U.S. Strategic Alternatives.pdf,Protracted stalemate,Stalemate,1.0,0.45,0.85,1.0,indexed,unresolved,,,
Perplexity_RAG-09,Perplexity Pro,9,runs/raw_logs/Perplexity_RAG/9. You are a tool for modeling strategic decisions. A.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.4,0.4,0.95,indexed,unresolved,,,
Perplexity_RAG-10,Perplexity Pro,10,runs/raw_logs/Perplexity_RAG/10. Strategic Alternatives and Triggers.pdf,Diplomatic resolution,Diplomatic resolution,0.35,0.88,0.68,0.65,indexed,unresolved,,,
Perplexity_RAG-11,Perplexity Pro,11,runs/raw_logs/Perplexity_RAG/11. __Strategic Action Options Analysis__.pdf,Diplomatic resolution,Diplomatic resolution,0.65,0.6,0.55,0.8,indexed,unresolved,,,
Perplexity_RAG-12,Perplexity Pro,12,runs/raw_logs/Perplexity_RAG/12. Strategic Decision Modeling for Cuban Missile Cris.pdf,Full-scale war,Adverse non-diplomatic outcome,0.75,0.5,0.5,1.0,indexed,unresolved,,,
Perplexity_RAG-13,Perplexity Pro,13,runs/raw_logs/Perplexity_RAG/13. Strategic Analysis of Current Event_ Soviet Nuclea.pdf,Diplomatic resolution,Diplomatic resolution,0.45,0.4,0.5,0.7,indexed,unresolved,,,
Perplexity_RAG-14,Perplexity Pro,14,runs/raw_logs/Perplexity_RAG/14. Strategic Decision Modeling_ Cuban Missile Crisis.pdf,Full-scale war,Adverse non-diplomatic outcome,0.75,0.5,0.5,1.0,indexed,unresolved,,,
Perplexity_RAG-15,Perplexity Pro,15,runs/raw_logs/Perplexity_RAG/15. Strategic Decision Model for Cuban Missile Crisis.pdf,Diplomatic resolution,Diplomatic resolution,0.35,0.73,1.0,0.45,indexed,unresolved,,,
Perplexity_RAG-16,Perplexity Pro,16,runs/raw_logs/Perplexity_RAG/16. You are a tool for modeling strategic decisions. A.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.63,0.43,0.65,indexed,unresolved,,,
Perplexity_RAG-17,Perplexity Pro,17,runs/raw_logs/Perplexity_RAG/17. Strategic Decision Modeling_ Cuban Missile Crisis (1).pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.63,0.93,0.65,indexed,unresolved,,,
Perplexity_RAG-18,Perplexity Pro,18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,Protracted stalemate,Stalemate,1.0,0.58,0.48,0.65,indexed,unresolved,,,
Perplexity_RAG-19,Perplexity Pro,19,runs/raw_logs/Perplexity_RAG/19. Strategic Analysis of Cuban Missile Crisis Event.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.43,0.48,1.0,indexed,unresolved,,,
Perplexity_RAG-20,Perplexity Pro,20,runs/raw_logs/Perplexity_RAG/20. Strategic Analysis for Cuban Missile Crisis (Based.pdf,Diplomatic resolution,Diplomatic resolution,0.4,0.63,0.43,0.65,indexed,unresolved,,,
Perplexity_RAG-21,Perplexity Pro,21,runs/raw_logs/Perplexity_RAG/21. Strategic Decision Model for Cuba Missile Crisis D.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.48,0.48,0.95,indexed,unresolved,,,
Perplexity_RAG-22,Perplexity Pro,22,runs/raw_logs/Perplexity_RAG/22. You are a tool for modeling strategic decisions. A.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.48,0.48,0.95,indexed,unresolved,,,
Perplexity_RAG-23,Perplexity Pro,23,runs/raw_logs/Perplexity_RAG/23. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.43,0.43,0.85,indexed,unresolved,,,
Perplexity_RAG-24,Perplexity Pro,24,runs/raw_logs/Perplexity_RAG/24. Strategic Alternatives Analysis for Missile Crisis.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.45,1.0,1.0,indexed,unresolved,,,
Perplexity_RAG-25,Perplexity Pro,25,runs/raw_logs/Perplexity_RAG/25. Strategic Response Modeling_ Cuban Missile Crisis.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.46,0.98,0.95,indexed,unresolved,,,
Perplexity_RAG-26,Perplexity Pro,26,runs/raw_logs/Perplexity_RAG/26. You are a tool for modeling strategic decisions. A.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.43,0.93,0.85,indexed,unresolved,,,
Perplexity_RAG-27,Perplexity Pro,27,runs/raw_logs/Perplexity_RAG/27. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.38,0.93,0.85,indexed,unresolved,,,
Perplexity_RAG-28,Perplexity Pro,28,runs/raw_logs/Perplexity_RAG/28. You are a tool for modeling strategic decisions. A (1).pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.43,0.93,0.85,indexed,unresolved,,,
Perplexity_RAG-29,Perplexity Pro,29,runs/raw_logs/Perplexity_RAG/29. Strategic Decision Modeling_ U.S. and Soviet React.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.43,0.93,0.85,indexed,unresolved,,,
Perplexity_RAG-30,Perplexity Pro,30,runs/raw_logs/Perplexity_RAG/30. Strategic Decision Analysis_ Soviet Missile Discov.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.43,0.93,0.85,indexed,unresolved,,,
