raw_log_path,readable_text,artifact_reference,explicit_result_log_label,all_four_state_dimensions,trigger_or_threshold,variable_status_label,explicit_reconfirm_variable_status,metadata_labels_present,independent_checker_phrase
runs/raw_logs/Gemini_2.5_Flash/27.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/28.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/29.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/3.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/30.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/4.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/5.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/6.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/7.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/8.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/9.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V1.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V10.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V11.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V12.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V13.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V14.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V15.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V16.pdf,True,True,True,True,True,False,False,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V17.pdf,True,True,True,True,True,False,False,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V18.pdf,True,True,True,True,True,False,False,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V19.pdf,True,True,True,True,True,False,False,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V2.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V20.pdf,True,True,True,True,True,False,False,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V21.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V22.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V23.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V24.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V25.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V26.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V27.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V28.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V29.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V3.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V30.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V4.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V5.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V6.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V7.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V8.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/GPT-4o/GPT_시뮬레이션 V9.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/10. Strategic Alternatives and Triggers.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/11. __Strategic Action Options Analysis__.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/12. Strategic Decision Modeling for Cuban Missile Cris.pdf,True,True,False,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/13. Strategic Analysis of Current Event_ Soviet Nuclea.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/14. Strategic Decision Modeling_ Cuban Missile Crisis.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/15. Strategic Decision Model for Cuban Missile Crisis.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/16. You are a tool for modeling strategic decisions. A.pdf,True,True,True,True,True,False,False,False,False
runs/raw_logs/Perplexity_RAG/17. Strategic Decision Modeling_ Cuban Missile Crisis (1).pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/19. Strategic Analysis of Cuban Missile Crisis Event.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/20. Strategic Analysis for Cuban Missile Crisis (Based.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/21. Strategic Decision Model for Cuba Missile Crisis D.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/22. You are a tool for modeling strategic decisions. A.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/23. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/24. Strategic Alternatives Analysis for Missile Crisis.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/25. Strategic Response Modeling_ Cuban Missile Crisis.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/26. You are a tool for modeling strategic decisions. A.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/27. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/28. You are a tool for modeling strategic decisions. A (1).pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/29. Strategic Decision Modeling_ U.S. and Soviet React.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/30. Strategic Decision Analysis_ Soviet Missile Discov.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,True,True,True,True,True,True,False,False,False
runs/raw_logs/Perplexity_RAG/5. You are a tool for modeling strategic decisions. A.pdf,True,True,True,True,True,False,False,False,False
runs/raw_logs/Perplexity_RAG/6. Strategic Analysis of Soviet Missile Discovery in.pdf,True,True,True,True,True,True,False,False,False
runs/raw_logs/Perplexity_RAG/7. Strategic Decision Modeling_ Soviet Missile Deploy.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/8. U.S. Strategic Alternatives.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Perplexity_RAG/9. You are a tool for modeling strategic decisions. A.pdf,True,True,True,True,True,True,True,False,False
