review_id,run_id,metric_key,check_id,legacy_status,narrow_rule_judgment,proposed_status,tier,source_page,source_path,pdf_sha256,excerpt,reason,source_phrase_matched,review_type,human_record_verified,scope
CR-GEM-28-T1US,GEM-28,T1_US_ROLE,SEM-B-V2-GEM-28-T1_US_ROLE,준수,U,판정 불가,boundary,3,runs/raw_logs/Gemini_2.5_Flash/28.pdf,070afef4916b15e5e456ad4d640e3987cbea13c5d6a17385d09dcf7ffd7cae08,"e (power_weight: 0.25) about the unacceptable risk of allowing the missiles to become operational are persuasive enough to override Kennedy's preference for a more measured start. The DoD's stance is that a strike is the only certain way to remove the threat. The Soviet trigger for retaliation upon being attacked is explicit, making this a direct path to open warfare. Combination 3: Diplomatic Gambit vs. Continued Deception (Alternative Path 2) U.S. Action: Take evidence to the UN a",An attributed stance appears alongside explicit acknowledgement that missiles may survive. Do not treat the entire response as an unqualified guarantee.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GPT-09-T1US,GPT-09,T1_US_ROLE,A2-GPT-09-T1_US_ROLE,준수,C,준수,retained,2,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V9.pdf,607655405a9010782d4b8b5c48542e810ea26919eb223a708d534add0181d646,"riggers. Potential: Failure → “Diplomatic_Failure” event → escalates to public panic or military contingency.  Option C: Air Strike on Missile Bases Rationale: Pentagon-favored; high-certainty removal of threat but high-risk escalation. Goal Alignment: Satisfies strategic dominance and domestic pressure. Trigger Possibilities: Inevitable: “Strike” event → Tension +0.15, Diplomatic Support −0.05 Likely Trigger: If USSR retaliates or reveals nuclear readines","High certainty is not absolute certainty. No demonstrated contradiction of the no-guarantee constraint in this phrase; preserve legacy label, not a whole-role revalidation.",True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GPT-14-T1US,GPT-14,T1_US_ROLE,A2-GPT-14-T1_US_ROLE,준수,C,준수,retained,2,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V14.pdf,e6bf4ece8979113a25230a1f7f747f60235d7261dc2c51c61984e4178ffb114c,"_Failure → Tension +0.10, Diplomatic_Support -0.10 3. Launch Immediate Air Strike on Missile Sites Rationale: Defense Department's preferred action—decisive elimination of threat. High utility in ensuring missile destruction, but severe escalation risk. Could trigger Soviet retaliation if missiles are operational. Potential Triggers: Inevitable: Strike → Tension +0.15, Diplomatic_Support -0.05, Public_Opinion -0.05, Leadership_Unity -0.10 Potential: Soviet retaliation →","A utility or intended-goal expression, not an unconditional promise of actual complete destruction. The prior proposed U is not necessary for this narrow criterion.",True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GEM-11-T1US,GEM-11,T1_US_ROLE,GEM-11-SEM2-T1_US_ROLE,준수,C,준수,retained,1,runs/raw_logs/Gemini_2.5_Flash/11.pdf,1e7cc5584589422807c07a6e553a76bd75c7d2987baf595494cc8ee58b062e5b,"r strike is the most decisive and effective way to eliminate the missiles before they become operational. The DoD's top priority is ""immediate_threat_elimination"" (0.5 weight) and its decision rule favors overwhelming action to remove threats with certainty. Next Event Triggers: Inevitable: The U.S. attack would constitute a ""Strike"" event, immediately increasing the ""Tension"" variable by 0.15 according to the Variable-Decision Matrix. Potential: Soviet military retaliation. An attack on Soviet forces ",Describes a preference and directly matches the preserved decision rule. Does not itself establish complete success.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GEM-22-T1US,GEM-22,T1_US_ROLE,SEM-B-V2-GEM-22-T1_US_ROLE,준수,C,준수,retained,3,runs/raw_logs/Gemini_2.5_Flash/22.pdf,bfa358bdaed1913da73d49cfb017ac39e9767ca320223b8a6252c09fcaf08dba,"c: This is a high-escalation path driven by the more hawkish elements of the U.S. government. In this scenario, the arguments of the Department of Defense (power_weight 0.25), who advocate for a decisive strike to eliminate the threat with certainty, win the internal U.S. debate. The President is persuaded that the risk of waiting outweighs the risk of a strike. The Soviet Union, faced with a sudden, direct attack on its forces, would have no choice but to react militarily. This would meet the ",Infinitive construction states an advocated objective. Insufficient basis to classify it as an objective guarantee.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GEM-27-T1US,GEM-27,T1_US_ROLE,SEM-B-V2-GEM-27-T1_US_ROLE,준수,C,준수,retained,1,runs/raw_logs/Gemini_2.5_Flash/27.pdf,429f9d8d033969cc1fd79087ded0cff5286c4a770cf53a1be22d289e3076bcd1,"erational. Their logic is driven by a high-risk tolerance and a focus on ""immediate threat elimination"" and upholding U.S. credibility through overwhelming force. This alternative prioritizes military certainty over diplomatic ambiguity. Next Event Triggers: Inevitable: ""Strike"" event occurs, causing a sharp increase in Tension (+0.15) and a decrease in Diplomatic_Support (-0.05) and Leadership_Unity (-0.10) per the Variable-Decision Matrix.json. Potential: Soviet military retaliat","Comparative priority, not an assertion that every missile will be destroyed.",True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-PER-01-T1US,PER-01,T1_US_ROLE,SEM-B-V2-PER-01-T1_US_ROLE,준수,C,준수,retained,1,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,"om European allies questioning unilateral action . [1] Rationale: Supported by the Defense Department to eliminate threats pre-emptively, leveraging superior conventional forces . Highest certainty of missile removal but risks nuclear retaliation . [1] [1] Triggers: Inevitable: Public Opinion Plunge (-0.05 to -0.10) due to fear of war . [1] Potential: Leadership Unity Collapse (-0.10 if ExComm dissents) . [1] Rationale: Favored by State Department to freeze miss",Comparative ranking does not assert probability one. Existing C retained for the narrow examined question.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-PER-02-T1US,PER-02,T1_US_ROLE,SEM-B-V2-PER-02-T1_US_ROLE,위반,V,위반,retained,1,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53, Potentially: U.S. domestic pressure for stronger action (0.3 probability) [US_JSON_FILE]. Air Strike Defense Department pushes for decisive elimination of threats [US_JSON_FILE]. Risks retaliation but ensures missile destruction. Inevitably: High-Tension escalation. Potentially: Soviet retaliation against U.S. bases (0.4 probability) [US_JSON_FILE]. Diplomatic Offensive State Department advocates for UN-based inspections and allied support [US_JSON_FILE]. Inevitably: Initia,Existing comparator V is consistent with the rule applied to the three unqualified assurances. No correction required.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-PER-20-T1US,PER-20,T1_US_ROLE,SEM-B-V2-PER-20-T1_US_ROLE,위반,U,위반,retained,1,runs/raw_logs/Perplexity_RAG/20. Strategic Analysis for Cuban Missile Crisis (Based.pdf,83085ec83b15b44b09de543bd4199ffc3a1fef15cdb5115df2e6a1fdf26de57d,", submarine confrontations or shoot-downs). [1] 2. Immediate Air Strikes Rationale: Defense Department preference for decisive action (0.5 priority weight on threat elimination) . Joint Chiefs argue strikes ensure missile sites are neutralized before becoming operational. [1] Next Event Triggers: Inevitable: Soviet retaliation against U.S. airbases/Turkey sites. Potential: Public backlash if NATO unity fractures or U.S. cities face nuclear risk. 3. Backchannel Diplomacy Rationale: State D",Attributed argument is interpretively ambiguous on this narrow question. The legacy overall V from cross-country institutional attribution is NOT removed.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-PER-11-T4_PARENT_COVERAGE,PER-11,T4_PARENT_COVERAGE,SEM-B-V2-PER-11-T4_PARENT_COVERAGE,위반,U,판정 불가,clear,10-15,runs/raw_logs/Perplexity_RAG/11. __Strategic Action Options Analysis__.pdf,c4bde1b8fb8f558cb6480afe71d3266fb879254fed954e6dfde8cb0b248d2fbe,Seven candidate combinations are not seven separately established next-turn starting states. Three family states are recorded; the active-set rule is incomplete.,V to U; no ex-post all-candidates-must-continue rule.,not_a_verbatim_quote,AI contextual review with original PDF text and page images,False,Specific previous and next turn; not full-run validation
CR-PER-20-T3_PARENT_COVERAGE,PER-20,T3_PARENT_COVERAGE,SEM-B-V2-PER-20-T3_PARENT_COVERAGE,판정 불가,V,위반,clear,7-14,runs/raw_logs/Perplexity_RAG/20. Strategic Analysis for Cuban Missile Crisis (Based.pdf,83085ec83b15b44b09de543bd4199ffc3a1fef15cdb5115df2e6a1fdf26de57d,"At least five distinct previous-turn outcomes have explicit state consequences, but only three family continuations appear. The conditional inspection-failure alternative is excluded from the required set.",U to V under original separate-result continuation; state arithmetic and labels are not independently certified.,not_a_verbatim_quote,AI contextual review with original PDF text and page images,False,Specific previous and next turn; not full-run validation
CR-PER-21-T3_PARENT_COVERAGE,PER-21,T3_PARENT_COVERAGE,SEM-B-V2-PER-21-T3_PARENT_COVERAGE,판정 불가,V,위반,clear,7-16,runs/raw_logs/Perplexity_RAG/21. Strategic Decision Model for Cuba Missile Crisis D.pdf,b4020fece93a951229c550c8ebadd25d6e2b12de5f793de110be6c9031874342,"Previous-turn Alternative A has its own result log and state (.60,.62,.57,.55); the following turn supplies three other continuations and does not continue Alternative A.",U to V; no documented pruning exception for the distinct recorded outcome.,not_a_verbatim_quote,AI contextual review with original PDF text and page images,False,Specific previous and next turn; not full-run validation
