run_id,pages_screened,retrieval_span_count,contextually_adjudicated,screening_only,no_global_semantic_verdict,source_pdf_sha256
GPT-03,1-4,2,False,True,True,f2ffaacf63446d0349875fa6a15f65971b3a9130bf9bf071035952189c2bf35b
GPT-04,1-4,3,False,True,True,95c63ce082198bc429b45c484279b7887410e35a7aef3ca5d65cf31edd70b91b
GPT-05,1-5,2,False,True,True,28218a57fa385b6d821654bcfe6a491c593cb096e0a6d565246cc2055e6cd334
GPT-06,1-4,1,False,True,True,9774116c3cb26e1e5074757116f478be4a37245408d420e1fa7aaf56107b3de9
GPT-07,1-5,2,False,True,True,0d3091d3a53a6368abfef39deee17ddab276b321a1e00b8e71fffbe692e834b0
GPT-08,1-4,3,False,True,True,7ae272d0a426e2a6f8ede13771fa4df309df1ee68514d2914fe79c082de4fada
GPT-09,1-5,2,True,False,True,607655405a9010782d4b8b5c48542e810ea26919eb223a708d534add0181d646
GPT-10,1-4,2,False,True,True,c95c58c512afda8d047eb925bd47801968f42f53b2d18458d6cccce3aa1c3aad
GPT-11,1-4,2,False,True,True,da0399d4adc653c8b6ad22ac5f9cc9cfd6a3eaf479694ba79318867dd370ad78
GPT-12,1-4,3,False,True,True,f3b1fb6fcbafc7446847aa51e799b7b5013ad6c06e2bb1ac50e89cd6beaeebaa
GPT-13,1-4,4,False,True,True,7a15bdd69ad5389061eaf2b5b0300161a7fe984561a7a77f2ba13764f431ac49
GPT-14,1-4,4,True,False,True,e6bf4ece8979113a25230a1f7f747f60235d7261dc2c51c61984e4178ffb114c
GPT-15,1-4,2,False,True,True,82da816b1d9610816025abf6b57e0ddb30d45896c19a99bf382c88ae5370f33c
GPT-16,1-4,2,False,True,True,095afc84f8437c7f5343b184d25cd23dfd17693b1386f84d94fa35f778900e7d
GPT-17,1-5,4,False,True,True,68003af1d7585e2b160a148685d20484b7576af921e5792488adfbf768abafeb
GPT-18,1-5,3,False,True,True,f0dad85d4e2cfc4eaaf5de2909bacdad3105b8f12cfca38f8df9bed75cd66ecd
GPT-19,1-4,3,False,True,True,4750ec398977fac0511c235af8f5947636e89150f2a8a28b03df2f3f246df7d0
GPT-20,1-4,4,False,True,True,60668599f034f9aa539712f4a5180b7e8fa74acf6cb5de703adbf86195f8f9cf
GPT-21,1-5,4,False,True,True,3118d6828e017eae7eb572f1e11734a172741fea6ddc2bbf116ab2726be8cb11
GPT-22,1-4,4,False,True,True,80cff2f749dcefe8b48c003c616763359c4ac63fd1709a407f9b6e7181235bb4
GPT-23,1-5,4,False,True,True,2847d060b5d31732c7d018ae6266a603ed9b8e1f7f4bd61973149618e70f08cf
GPT-24,1-4,2,False,True,True,7714ddf156a4047a6a3fd46367c3dcd82b1135b26e3420dd5eb131dbd6fcaccd
GPT-25,1-5,2,False,True,True,b0a112a6a6dcc9a56fe67c8983a15f4e06a3034ebb03146ca406d11d3c476a8d
GPT-26,1-5,3,False,True,True,093cab78c8c0ce3f58bc0fbcf0c4c3aea891b778b2aff263971884fdf93e5606
GPT-27,1-5,3,False,True,True,1c91642cd20ca4e538be5a3c52238b74a3c68ca7a248a9c91157a240a8415847
GPT-28,1-4,2,True,False,True,ee50e21096f64d31b893ea2862c7725b2f15b11ffd90ecd7c150b89ead491ad9
GPT-29,1-4,3,True,False,True,588bfc80c9151a9a8981f07b5c5f73f2c4ec0c93ae8849ad9c0b3dcd23eb1a4b
GPT-30,1-5,2,False,True,True,b94418adfac3570e22ca85e3d4c4b7d2f6e7fe2559b695680da0c623834de476
PER-01,1-4,3,True,False,True,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c
PER-02,1-4,3,True,False,True,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53
PER-03,1-4,3,False,True,True,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c
PER-04,1-4,1,False,True,True,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803
PER-05,1-4,3,False,True,True,b168b0ce9bf51ef2a92086c472372d37641efe0d4584cc53cdb0cbf28d12af48
PER-06,1-4,1,False,True,True,cc974f3606f19904b045b791e122d013847ea1e8c44175bf38f1a76bdf994f8b
PER-07,1-4,1,False,True,True,1668f1cf6f059d3671721d77aa3cf9f72fc0c4f1bcaa98466f3cfe21db443de4
PER-08,1-4,1,False,True,True,f28dfb54f3011bdc879738da1a4ca595625a79451f3ffd79b8d1ecaaf848223b
PER-09,1-4,1,False,True,True,d0e66854e6be9415522cbc0ac45e89d3a30e05d6dc4c276b9776ade368481352
PER-10,1-4,2,False,True,True,ffe6549ae0e4c4252079f40ac3eedcd601481c0b7a5d552879b1f143ff5f8061
PER-11,1-4,1,False,True,True,c4bde1b8fb8f558cb6480afe71d3266fb879254fed954e6dfde8cb0b248d2fbe
PER-12,1-4,1,False,True,True,80fdaba7f1f0a872aecb0d610fb8bf792b288f88a30d14b3a6095def4627fcf5
PER-13,1-4,1,False,True,True,5b712a6d1b6c251a9027e011f4e6250e2f6c80a5620bdb283829af5f25f3900f
PER-14,1-4,2,False,True,True,f4e323e0d788f5423578471fbbc8d541d9b5c6f533439a35d302fd52bb52b9f2
PER-15,1-4,2,False,True,True,bbe1d6156557812e559fa9bd82cfa7965887593868c4ad8285aa7798dbd9f5c0
PER-16,1-4,0,False,True,True,bafd99d6049da828c410d69298865ad2c2e5cdee59cc7fe0fcee8c406e495621
PER-17,1-4,2,False,True,True,7fe13a44539c6e256f7983e49ac38b8a3e62df817de6878b69711ab3c0dd03c2
PER-18,1-4,1,False,True,True,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81
PER-19,1-4,2,False,True,True,48113015b8f8167b340f24e6225e7f895102252c5767eaf7696d979f21b111f8
PER-20,1-4,2,True,False,True,83085ec83b15b44b09de543bd4199ffc3a1fef15cdb5115df2e6a1fdf26de57d
PER-21,1-4,1,False,True,True,b4020fece93a951229c550c8ebadd25d6e2b12de5f793de110be6c9031874342
PER-22,1-4,4,False,True,True,dfa679a2e8e0ac42e05662062f390bb1f837cecfbf4d888893f54af270ceeab0
PER-23,1-4,2,True,False,True,00736a030be770100052f60ac989aa5cbeb6f84d3094dc24a9ba850dbc5658c9
PER-24,1-4,2,False,True,True,2a6ec5f9e15f31b3fa67d32b5c790079f140b611bf13012923316d6a10215a37
PER-25,1-4,2,False,True,True,1d1b2305e57df21974bb84bf05f7b4f6eb88a63a9b3e20c16c85b3d73c386d7c
PER-26,1-4,1,False,True,True,ed6b4901a20f459ee4f0bfb4d7bfd3a31c213a864bf546265b241d3ebf984f49
PER-27,1-4,1,False,True,True,fc5bece68d62652495b92941b31299f5ba4770db51e5ad640662424dcf30c1f8
PER-28,1-4,2,False,True,True,d0b530bd3fe34a0a1275d98b455ebca35e241b34a9846972f97715ff8d19b48b
PER-29,1-4,2,False,True,True,92dfeecd15f4ed66ee45d7e4e12b9e7594deec57e2a4c1ccfd032ebab5708810
PER-30,1-4,1,False,True,True,6633d5f367fc9b84501437bba8e62278ae94c9da8eb7321adea9b8e64f865503
