run_id,turn,branch,page,identified_pairs,review_completed
PER-25,T4,Escalation,"15,17-18",2,true
PER-25,T4,Diplomatic De-escalation,"16,18-19",2,true
PER-26,T4,Primary Pathway,13-14,2,true
PER-26,T4,Crisis Escalation,14-15,2,true
PER-26,T4,Botched Diplomacy,15-16,2,true
PER-27,T4,Diplomatic Path,15-17,1,true
PER-27,T4,Hardline Path,17-18,1,true
PER-27,T4,Stalemate Path,18-19,1,true
PER-28,T4,Most Plausible,14-15,1,true
PER-28,T4,Hardline Response,15-16,1,true
PER-28,T4,Diplomatic Path,16-17,1,true
PER-29,T4,Blockade + Covert Deployment,12-13,2,true
PER-29,T4,Air Strikes + Public Escalation,13-14,2,true
PER-29,T4,Freeze + Conditional Withdrawal,15-16,2,true
PER-30,T4,Most Plausible,18-20,2,true
PER-30,T4,Diplomatic Resolution,20-21,2,true
PER-30,T4,Riskier Path,22-23,2,true
GEM-21,T4,A1 United States,16-19,2,true
GEM-21,T4,A1 Soviet Union,16-19,2,true
GEM-22,T4,Most Plausible,15-16,2,true
GEM-22,T4,Diplomatic Resolution,16-17,2,true
GEM-22,T4,Hardline Response,17-18,1,true
