check_id,run_id,turn,page,manually_matched_country,manually_matched_actor_index,actor_name,manually_normalized_weight_key,source_json,json_path,original_json_sha256,evidence,reported_value,expected_value,path_exists,original_actor_priority_values,reported_value_occurs_in_original_priority_values,path_status,numeric_equality_status,reason,actor_goal_attribution_method,numeric_method,historical_input_version_uncertainty,scope
AWV-011,CLA-09,T3,17,SU,2,Soviet Armed Forces (High Command),deterrence,actor_json/soviet_gpt.json,$.actors[2].behavior_algorithm.priority_weights.deterrence,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"deterrence"" (0.4 priority weight",0.4,,False,"{""mission_success"": 0.4, ""force_survival"": 0.3, ""state_security"": 0.3}",True,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-012,CLA-11,T4,24,SU,0,Nikita Khrushchev (First Secretary of CPSU / Premier of USSR),deterrence,actor_json/soviet_gpt.json,$.actors[0].behavior_algorithm.priority_weights.deterrence,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,balances deterrence (0.4),0.4,0.4,True,"{""deterrence"": 0.4, ""support_ally"": 0.3, ""avoid_nuclear_war"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-013,CLA-11,T4,24,SU,0,Nikita Khrushchev (First Secretary of CPSU / Premier of USSR),avoid_nuclear_war,actor_json/soviet_gpt.json,$.actors[0].behavior_algorithm.priority_weights.avoid_nuclear_war,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,with avoiding war (0.3),0.3,0.3,True,"{""deterrence"": 0.4, ""support_ally"": 0.3, ""avoid_nuclear_war"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-014,CLA-12,T4,27,SU,2,Soviet Armed Forces (High Command),force_survival,actor_json/soviet_gpt.json,$.actors[2].behavior_algorithm.priority_weights.force_survival,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"force preservation"" (0.3 weight",0.3,0.3,True,"{""mission_success"": 0.4, ""force_survival"": 0.3, ""state_security"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-015,CLA-15,T2,14,SU,1,Communist Party of the Soviet Union (Party Presidium),preserve_peace,actor_json/soviet_gpt.json,$.actors[1].behavior_algorithm.priority_weights.preserve_peace,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"preserve peace"" (0.35 weight",0.35,0.35,True,"{""protect_socialist_ally"": 0.35, ""preserve_peace"": 0.35, ""uphold_prestige"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-016,CLA-20,T3,16,US,0,President John F. Kennedy,power_weight,actor_json/us_gpt.json,$.actors[0].power_weight,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,Presidential power_weight (0.40),0.40,0.4,True,"{""national_security"": 0.4, ""avoid_nuclear_war"": 0.3, ""alliance_management"": 0.2, ""domestic_opinion"": 0.1}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-017,CLA-26,T4,27,SU,2,Soviet Armed Forces (High Command),force_survival,actor_json/soviet_gpt.json,$.actors[2].behavior_algorithm.priority_weights.force_survival,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,Force_survival: 0.3,0.3,0.3,True,"{""mission_success"": 0.4, ""force_survival"": 0.3, ""state_security"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-018,CLA-30,T4,23,SU,2,Soviet Armed Forces (High Command),power_weight,actor_json/soviet_gpt.json,$.actors[2].power_weight,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,Military (0.2 power),0.2,0.2,True,"{""mission_success"": 0.4, ""force_survival"": 0.3, ""state_security"": 0.3}",False,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-019,PER-03,T3,9,US,1,Department of State (Sec. Dean Rusk & Diplomats),secret_talks,actor_json/us_gpt.json,$.actors[1].behavior_algorithm.priority_weights.secret_talks,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,"secret talks"" (0.5 weight",0.5,,False,"{""international_support"": 0.3, ""national_security"": 0.3, ""conflict_avoidance"": 0.2, ""domestic_politics"": 0.2}",False,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-020,PER-03,T4,13,US,1,Department of State (Sec. Dean Rusk & Diplomats),diplomacy,actor_json/us_gpt.json,$.actors[1].behavior_algorithm.priority_weights.diplomacy,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,diplomacy priority (0.5 weight,0.5,,False,"{""international_support"": 0.3, ""national_security"": 0.3, ""conflict_avoidance"": 0.2, ""domestic_politics"": 0.2}",False,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-021,PER-05,T3,12,US,1,Department of State (Sec. Dean Rusk & Diplomats),alliance_management,actor_json/us_gpt.json,$.actors[1].behavior_algorithm.priority_weights.alliance_management,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,alliance_management 0.2 weight,0.2,,False,"{""international_support"": 0.3, ""national_security"": 0.3, ""conflict_avoidance"": 0.2, ""domestic_politics"": 0.2}",True,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-022,PER-05,T4,16,US,1,Department of State (Sec. Dean Rusk & Diplomats),alliance_management,actor_json/us_gpt.json,$.actors[1].behavior_algorithm.priority_weights.alliance_management,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,"alliance_management"" focus (0.2 weight",0.2,,False,"{""international_support"": 0.3, ""national_security"": 0.3, ""conflict_avoidance"": 0.2, ""domestic_politics"": 0.2}",True,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-023,PER-05,T4,17,US,2,Department of Defense (Sec. McNamara & Joint Chiefs),force_survival,actor_json/us_gpt.json,$.actors[2].behavior_algorithm.priority_weights.force_survival,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,"force survival"" protocol (0.3 weight",0.3,,False,"{""immediate_threat_elimination"": 0.5, ""deterrence_and_credibility"": 0.3, ""ally_cohesion"": 0.1, ""minimize_escalation"": 0.1}",True,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-024,PER-05,T4,18,US,2,Department of Defense (Sec. McNamara & Joint Chiefs),state_security,actor_json/us_gpt.json,$.actors[2].behavior_algorithm.priority_weights.state_security,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,"state_security"" priority (0.3 weight",0.3,,False,"{""immediate_threat_elimination"": 0.5, ""deterrence_and_credibility"": 0.3, ""ally_cohesion"": 0.1, ""minimize_escalation"": 0.1}",True,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-025,PER-05,T4,19,SU,0,Nikita Khrushchev (First Secretary of CPSU / Premier of USSR),support_ally,actor_json/soviet_gpt.json,$.actors[0].behavior_algorithm.priority_weights.support_ally,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"support_ally"" priority (0.35 weight",0.35,0.3,True,"{""deterrence"": 0.4, ""support_ally"": 0.3, ""avoid_nuclear_war"": 0.3}",False,준수,위반,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-026,PER-05,T4,16,SU,1,Communist Party of the Soviet Union (Party Presidium),force_deterrence,actor_json/soviet_gpt.json,$.actors[1].behavior_algorithm.priority_weights.force_deterrence,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"force_deterrence"" priority (0.3 weight",0.3,,False,"{""protect_socialist_ally"": 0.35, ""preserve_peace"": 0.35, ""uphold_prestige"": 0.3}",True,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-027,PER-05,T4,18,SU,2,Soviet Armed Forces (High Command),force_deterrence,actor_json/soviet_gpt.json,$.actors[2].behavior_algorithm.priority_weights.force_deterrence,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"force_deterrence"" logic (0.4 weight",0.4,,False,"{""mission_success"": 0.4, ""force_survival"": 0.3, ""state_security"": 0.3}",True,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
