run_id,readable_text,artifact_reference,explicit_result_log_label,all_four_state_dimensions,trigger_or_threshold,variable_status_label,explicit_reconfirm_variable_status,metadata_labels_present,independent_checker_phrase,pdf_sha256,pages
GPT-11,True,True,True,True,True,True,True,False,False,da0399d4adc653c8b6ad22ac5f9cc9cfd6a3eaf479694ba79318867dd370ad78,28
GPT-12,True,True,True,True,True,True,True,False,False,f3b1fb6fcbafc7446847aa51e799b7b5013ad6c06e2bb1ac50e89cd6beaeebaa,23
GPT-13,True,True,True,True,True,True,True,False,False,7a15bdd69ad5389061eaf2b5b0300161a7fe984561a7a77f2ba13764f431ac49,21
GPT-14,True,True,True,True,True,True,True,False,False,e6bf4ece8979113a25230a1f7f747f60235d7261dc2c51c61984e4178ffb114c,28
GPT-15,True,True,True,True,True,True,True,False,False,82da816b1d9610816025abf6b57e0ddb30d45896c19a99bf382c88ae5370f33c,29
GPT-16,True,True,True,True,True,False,False,False,False,095afc84f8437c7f5343b184d25cd23dfd17693b1386f84d94fa35f778900e7d,26
GPT-17,True,True,True,True,True,False,False,False,False,68003af1d7585e2b160a148685d20484b7576af921e5792488adfbf768abafeb,17
GPT-18,True,True,True,True,True,False,False,False,False,f0dad85d4e2cfc4eaaf5de2909bacdad3105b8f12cfca38f8df9bed75cd66ecd,16
GPT-19,True,True,True,True,True,False,False,False,False,4750ec398977fac0511c235af8f5947636e89150f2a8a28b03df2f3f246df7d0,34
GPT-20,True,True,True,True,True,False,False,False,False,60668599f034f9aa539712f4a5180b7e8fa74acf6cb5de703adbf86195f8f9cf,29
GPT-21,True,True,True,True,True,True,True,False,False,3118d6828e017eae7eb572f1e11734a172741fea6ddc2bbf116ab2726be8cb11,31
GPT-22,True,True,True,True,True,True,True,False,False,80cff2f749dcefe8b48c003c616763359c4ac63fd1709a407f9b6e7181235bb4,17
GPT-23,True,True,True,True,True,True,True,False,False,2847d060b5d31732c7d018ae6266a603ed9b8e1f7f4bd61973149618e70f08cf,19
GPT-24,True,True,True,True,True,True,True,False,False,7714ddf156a4047a6a3fd46367c3dcd82b1135b26e3420dd5eb131dbd6fcaccd,22
GPT-25,True,True,True,True,True,True,True,False,False,b0a112a6a6dcc9a56fe67c8983a15f4e06a3034ebb03146ca406d11d3c476a8d,19
GPT-26,True,True,True,True,True,True,True,False,False,093cab78c8c0ce3f58bc0fbcf0c4c3aea891b778b2aff263971884fdf93e5606,37
GPT-27,True,True,True,True,True,True,True,False,False,1c91642cd20ca4e538be5a3c52238b74a3c68ca7a248a9c91157a240a8415847,32
GPT-28,True,True,True,True,True,True,True,False,False,ee50e21096f64d31b893ea2862c7725b2f15b11ffd90ecd7c150b89ead491ad9,25
GPT-29,True,True,True,True,True,True,True,False,False,588bfc80c9151a9a8981f07b5c5f73f2c4ec0c93ae8849ad9c0b3dcd23eb1a4b,30
GPT-30,True,True,True,True,True,True,True,False,False,b94418adfac3570e22ca85e3d4c4b7d2f6e7fe2559b695680da0c623834de476,35
PER-01,True,True,True,True,True,True,True,False,False,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,25
PER-02,True,True,True,True,True,True,True,False,False,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,25
PER-03,True,True,True,True,True,True,True,False,False,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,19
PER-04,True,True,True,True,True,True,False,False,False,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,18
PER-05,True,True,True,True,True,False,False,False,False,b168b0ce9bf51ef2a92086c472372d37641efe0d4584cc53cdb0cbf28d12af48,25
PER-06,True,True,True,True,True,True,False,False,False,cc974f3606f19904b045b791e122d013847ea1e8c44175bf38f1a76bdf994f8b,17
PER-07,True,True,True,True,True,True,True,False,False,1668f1cf6f059d3671721d77aa3cf9f72fc0c4f1bcaa98466f3cfe21db443de4,24
PER-08,True,True,True,True,True,True,True,False,False,f28dfb54f3011bdc879738da1a4ca595625a79451f3ffd79b8d1ecaaf848223b,21
PER-09,True,True,True,True,True,True,True,False,False,d0e66854e6be9415522cbc0ac45e89d3a30e05d6dc4c276b9776ade368481352,24
PER-10,True,True,True,True,True,True,True,False,False,ffe6549ae0e4c4252079f40ac3eedcd601481c0b7a5d552879b1f143ff5f8061,28
PER-11,True,True,True,True,True,True,True,False,False,c4bde1b8fb8f558cb6480afe71d3266fb879254fed954e6dfde8cb0b248d2fbe,20
PER-12,True,True,False,True,True,True,True,False,False,80fdaba7f1f0a872aecb0d610fb8bf792b288f88a30d14b3a6095def4627fcf5,27
PER-13,True,True,True,True,True,True,True,False,False,5b712a6d1b6c251a9027e011f4e6250e2f6c80a5620bdb283829af5f25f3900f,26
PER-14,True,True,True,True,True,True,True,False,False,f4e323e0d788f5423578471fbbc8d541d9b5c6f533439a35d302fd52bb52b9f2,28
PER-15,True,True,True,True,True,True,True,False,False,bbe1d6156557812e559fa9bd82cfa7965887593868c4ad8285aa7798dbd9f5c0,23
PER-16,True,True,True,True,True,False,False,False,False,bafd99d6049da828c410d69298865ad2c2e5cdee59cc7fe0fcee8c406e495621,25
PER-17,True,True,True,True,True,True,True,False,False,7fe13a44539c6e256f7983e49ac38b8a3e62df817de6878b69711ab3c0dd03c2,25
PER-18,True,True,True,True,True,True,True,False,False,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,26
PER-19,True,True,True,True,True,True,True,False,False,48113015b8f8167b340f24e6225e7f895102252c5767eaf7696d979f21b111f8,23
PER-20,True,True,True,True,True,True,True,False,False,83085ec83b15b44b09de543bd4199ffc3a1fef15cdb5115df2e6a1fdf26de57d,23
PER-21,True,True,True,True,True,True,True,False,False,b4020fece93a951229c550c8ebadd25d6e2b12de5f793de110be6c9031874342,27
PER-22,True,True,True,True,True,True,True,False,False,dfa679a2e8e0ac42e05662062f390bb1f837cecfbf4d888893f54af270ceeab0,20
PER-23,True,True,True,True,True,True,True,False,False,00736a030be770100052f60ac989aa5cbeb6f84d3094dc24a9ba850dbc5658c9,22
PER-24,True,True,True,True,True,True,True,False,False,2a6ec5f9e15f31b3fa67d32b5c790079f140b611bf13012923316d6a10215a37,26
PER-25,True,True,True,True,True,True,True,False,False,1d1b2305e57df21974bb84bf05f7b4f6eb88a63a9b3e20c16c85b3d73c386d7c,23
PER-26,True,True,True,True,True,True,True,False,False,ed6b4901a20f459ee4f0bfb4d7bfd3a31c213a864bf546265b241d3ebf984f49,22
PER-27,True,True,True,True,True,True,True,False,False,fc5bece68d62652495b92941b31299f5ba4770db51e5ad640662424dcf30c1f8,26
PER-28,True,True,True,True,True,True,True,False,False,d0b530bd3fe34a0a1275d98b455ebca35e241b34a9846972f97715ff8d19b48b,21
PER-29,True,True,True,True,True,True,True,False,False,92dfeecd15f4ed66ee45d7e4e12b9e7594deec57e2a4c1ccfd032ebab5708810,21
PER-30,True,True,True,True,True,True,True,False,False,6633d5f367fc9b84501437bba8e62278ae94c9da8eb7321adea9b8e64f865503,29
