run_id,turn,review_completed,unknown_reason,pages,actual_branch_labels,scope
CLA-12,T2,True,,9;10;11;12;13;14,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-12,T3,True,,16;17;18;19;20;21,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-12,T4,True,,22;23;24;25;26;27;28,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-13,T2,True,,10;11;12;13;14,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-13,T3,True,,16;17;18;19;20,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-13,T4,True,,22;23;24;25;26,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-14,T2,True,,12;13;14;15;16,Quarantine;Diplomacy;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-14,T3,True,,17;18;19;20;21,Quarantine;Diplomacy;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-14,T4,True,,22;23;24;25;26,FullBlockade;Accountability;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-15,T2,True,,10;11;12;13;14;15;16;17;18;19;20;21,Naval;Diplomatic;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-15,T3,True,,22;23;24;25;26;27;28;29;30;31,Naval;Diplomatic;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-15,T4,True,,32;33;34;35;36;37;38;39;40,Naval;Diplomatic;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-16,T2,True,,8;9;10;11;12,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-16,T3,True,,13;14;15;16;17;18,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-16,T4,True,,20;21;22;23;24;25,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-17,T2,True,,9;10;11;12;13;14,Measured;Escalatory;TimePressure,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-17,T3,True,,16;17;18;19;20;21,Measured;Escalatory;TimePressure,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-17,T4,True,,22;23;24;25;26;27,Measured;Escalatory;TimePressure,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-18,T2,True,,9;10;11;12;13;14,Controlled;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-18,T3,True,,16;17;18;19;20;21,Controlled;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-18,T4,True,,23;24;25;26;27;28,Controlled;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-19,T2,True,,9;10;11;12;13,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-19,T3,True,,14;15;16;17;18,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-19,T4,True,,20;21;22;23;24,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-20,T2,True,,9;10;11;12;13;14,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-20,T3,True,,16;17;18;19;20;21,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-20,T4,True,,22;23;24;25;26;27;28,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-21,T2,True,,13;14;15;16;17,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-21,T3,True,,18;19;20;21;22;23,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-21,T4,True,,24;25;26;27;28;29,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-22,T2,True,,9;10;11;12;13;14;15,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-22,T3,True,,16;17;18;19;20;21;22,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-22,T4,True,,23;24;25;26;27;28;29,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-23,T2,True,,8;9;10;11;12,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-23,T3,True,,14;15;16;17;18;19,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-23,T4,True,,20;21;22;23;24;25,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-24,T2,True,,10;11;12;13;14;15;16,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-24,T3,True,,17;18;19;20;21;22;23,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-24,T4,True,,24;25;26;27;28;29,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-25,T2,True,,10;11;12;13;14;15;16,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-25,T3,True,,18;19;20;21;22;23;24,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-25,T4,True,,26;27;28;29;30;31;32,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-26,T2,True,,9;10;11;12;13;14,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-26,T3,True,,15;16;17;18;19;20;21,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-26,T4,True,,22;23;24;25;26;27;28,Primary;Diplomatic;Hardline,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-27,T2,True,,9;10;11;12;13,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-27,T3,True,,15;16;17;18;19;20,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-27,T4,True,,22;23;24;25;26;27,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-28,T2,True,,10;11;12;13;14;15;16,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-28,T3,True,,17;18;19;20;21;22;23;24,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-28,T4,True,,25;26;27;28;29;30;31;32,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-29,T2,True,,8;9;10;11;12;13;14,Measured;Military;Delay,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-29,T3,True,,15;16;17;18;19;20,Measured;Military;Delay,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-29,T4,True,,22;23;24;25;26;27,Measured;Military;Delay,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-30,T2,True,,9;10;11;12;13,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-30,T3,True,,15;16;17;18;19,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-30,T4,True,,21;22;23;24;25,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-01,T2,True,,9;10;11;12;13;14,Most Plausible;High Escalation;De-escalation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-01,T3,True,,15;16;17;18;19;20,Most Plausible;High Escalation;De-escalation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-01,T4,True,,21;22;23;24,Most Plausible;High Escalation;De-escalation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-02,T2,True,,7;8;9;10,Backchannel Negotiation;Ultimatum;Point of No Return,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-02,T3,True,,11;12;13;14,Last-Minute Deal;Race Against Invasion;Total War,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-02,T4,True,,15;16;17,Resolution;Nuclear Threshold;Annihilation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-03,T2,True,,7;8;9;10,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-03,T3,True,,11;12;13;14,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-03,T4,True,,15;16;17;18,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-04,T2,True,,8;9;10;11;12;13;14,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-04,T3,True,,15;16;17;18;19;20;21,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-04,T4,True,,22;23;24;25;26;27,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-05,T2,True,,7;8;9,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-05,T3,True,,10;11;12,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-05,T4,True,,13;14;15,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-06,T2,True,,7;8;9;10,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-06,T3,True,,11;12;13;14,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-06,T4,True,,15;16;17;18,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-07,T2,True,,8;9;10;11;12;13,Most Plausible;Escalation;Military First,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-07,T3,True,,14;15;16;17;18,Diplomatic Resolution;Open Conflict;Full-Scale War,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-07,T4,True,,19;20;21;22,Diplomatic Resolution;Open Conflict terminal;Full-Scale War terminal,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-08,T2,True,,8;9;10;11;12;13,Most Plausible;Military Escalation;Diplomatic Gambit,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-08,T3,True,,14;15;16;17;18;19,Most Plausible;Military Escalation;Diplomatic Gambit,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-08,T4,True,,20;21;22;23;24;25,Most Plausible;Military Escalation;Diplomatic Gambit,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-09,T2,True,,6;7;8,Most Plausible;Hawkish Escalation;Diplomatic De-escalation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-09,T3,True,,9;10;11,Most Plausible;Hawkish Escalation;Diplomatic De-escalation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-09,T4,True,,12;13;14,Most Plausible;Hawkish Escalation;Diplomatic De-escalation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-10,T2,True,,8;9;10;11;12;13,Most Plausible;Hawkish Escalation;Diplomatic Failure,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-10,T3,True,,14;15;16;17;18;19,Most Plausible;Hawkish Escalation;Diplomatic Failure,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-10,T4,True,,20;21;22;23;24,Most Plausible;Hawkish Escalation;Diplomatic Failure,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-11,T2,True,,8;9;10;11,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-11,T3,True,,12;13;14;15,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-11,T4,True,,16;17;18;19,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-12,T2,True,,7;8;9,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-12,T3,True,,10;11;12,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-12,T4,True,,13;14;15,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-13,T2,True,,7;8;9;10;11;12,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-13,T3,True,,13;14;15;16;17,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-13,T4,True,,18;19;20;21;22,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-14,T2,True,,7;8;9;10;11;12,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-14,T3,True,,13;14;15;16;17;18,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-14,T4,True,,19;20;21;22;23;24,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-15,T2,True,,8;9;10,Most Plausible;A Deny and Delay;B Airstrike,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-15,T3,True,,11;12;13,Most Plausible;A Deny and Delay;B Airstrike,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-15,T4,True,,14;15;16,Most Plausible;A Deny and Delay;B Airstrike,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-16,T2,True,,8;9;10;11,Most Plausible;Failed De-escalation; Military terminated,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-16,T3,True,,12;13;14,Most Plausible; other paths terminated,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-16,T4,True,,15;16;17,From Most Plausible to Brink of War,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-17,T2,True,,7;8;9;10,Most Plausible;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-17,T3,True,,11;12;13;14,Most Plausible;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-17,T4,True,,15;16;17;18,Most Plausible;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-18,T2,True,,8;9;10;11;12,Most Plausible;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-18,T3,True,,13;14;15;16;17,Most Plausible;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-18,T4,True,,18;19;20;21;22,Most Plausible;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-19,T2,True,,7;8;9;10,Most Plausible;Diplomatic Focus; High Risk terminated,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-19,T3,True,,11;12;13;14,Most Plausible;Diplomatic Focus,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-19,T4,True,,15;16;17;18,Most Plausible;Diplomatic Focus,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-20,T2,True,,8;9;10;11,1A;1B;2A;3A,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-20,T3,True,,12;13;14;15,1A-1;1A-2;1B-1;2A-1;3A-1,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-20,T4,True,,16;17;18;19,1A-1-A;1A-2-A;1B-1-A;2A-1-A;3A-1-A;3A-1-B,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-21,T2,True,,7;8;9;10;11,A;B;C,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-21,T3,True,,12;13;14;15,A1;B1;C1,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-21,T4,True,,16;17;18;19,A1-1;A1-2; B/C terminated,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-22,T2,True,,7;8;9;10,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-22,T3,True,,11;12;13;14,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-22,T4,True,,15;16;17;18,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-23,T2,True,,7;8;9;10;11;12;13,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-23,T3,True,,14;15;16;17;18;19,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-23,T4,True,,20;21;22;23;24,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-24,T2,True,,7;8;9;10;11;12;13;14,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-24,T3,True,,15;16;17;18;19;20;21,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-24,T4,True,,22;23;24;25;26;27;28,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-25,T2,True,,8;9;10;11,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-25,T3,True,,12;13;14;15,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-25,T4,True,,16;17;18;19,Most Plausible;Military Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-26,T2,True,,7;8;9;10;11;12,Most Plausible;High Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-26,T3,True,,13;14;15;16;17;18,Most Plausible;High Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-26,T4,True,,19;20;21;22;23,Most Plausible;High Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-27,T2,True,,7;8;9;10;11;12,Measured Standoff;Decisive Strike;Secret Negotiation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-27,T3,True,,13;14;15;16;17,Measured Standoff;Decisive Strike;Failed Negotiation,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-27,T4,True,,18;19;20;21,Measured Standoff;Converged2+3,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-28,T2,True,,7;8;9,Most Plausible;High Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-28,T3,True,,10;11;12,Most Plausible;High Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-28,T4,True,,13;14;15;16,Most Plausible;High Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-29,T2,True,,8;9;10;11,Most Plausible;High Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
GEM-29,T3,True,,12;13;14;15,Most Plausible;High Escalation;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
