run_id,final_source_pages,reports_identified_and_reviewed,report_ids,review_completed,uncertainty_code,scope_note
CLA-25,33;34;35;36;37;38;39;40;41;42;43;44;45;46;47,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-26,29;30;31;32;33;34;35;36;37;38;39;40;41,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-27,28;29;30;31;32;33;34;35,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-28,33;34;35;36;37;38;39;40;41;42;43;44,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-29,29;30;31;32;33;34;35;36;37;38;39;40,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-30,26;27;28;29;30;31;32;33;34;35;36,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-01,25;26;27;28;29;30;31,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-02,18;19;20;21;22;23;24,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-03,19;20;21;22;23;24;25,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-04,28;29;30;31;32;33;34,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-05,16;17;18;19;20;21;22,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-06,19;20;21;22;23;24;25,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-07,23;24;25;26;27;28;29,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-08,26;27;28;29;30;31;32,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-09,15;16;17;18;19;20;21,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-10,25;26;27;28;29;30;31,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-11,20;21;22;23;24;25;26,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-12,16;17;18;19;20;21;22,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-13,23;24;25;26;27;28;29,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-14,25;26;27;28;29;30;31,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-15,17;18;19;20;21;22;23,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-16,18;19;20;21;22;23;24,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-17,19;20;21;22;23;24;25;26,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-18,23;24;25;26;27;28;29,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-19,19;20;21;22;23;24;25,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-20,20;21;22;23;24;25,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GEM-21,20;21;22;23;24;25;26;27;28,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-22,19;20;21;22;23;24;25,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-23,25;26;27;28;29;30;31,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-24,29;30;31;32;33;34;35,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-25,20;21;22;23;24;25;26;27,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-26,24;25;26;27;28;29;30;31,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-27,22;23;24;25;26;27;28,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-28,17;18;19;20;21;22;23,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-29,20;21;22;23;24;25;26;27,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GEM-30,20;21;22;23;24;25;26,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
GPT-01,25;26;27;28;29;30,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-02,22;23;24;25;26,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-03,23;24;25;26,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-04,23;24;25;26;27,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-05,13;14;15,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-06,20;21;22;23;24,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-07,27;28;29;30;31,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-08,25;26;27;28;29,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-09,28;29;30;31,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-10,21;22;23;24;25,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-11,24;25;26;27;28,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-12,20;21;22;23,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-13,17;18;19;20;21,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-14,24;25;26;27;28,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-15,26;27;28;29,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-16,22;23;24;25;26,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-17,15;16;17,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-18,14;15;16,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-19,29;30;31;32;33;34,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-20,25;26;27;28;29,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-21,26;27;28;29;30;31,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-22,14;15;16;17,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-23,15;16;17;18;19,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-24,18;19;20;21;22,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-25,15;16;17;18;19,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-26,31;32;33;34;35;36;37,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-27,27;28;29;30;31;32,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-28,18;19;20;21;22;23;24;25,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-29,24;25;26;27;28;29;30,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
GPT-30,28;29;30;31;32;33;34;35,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
PER-01,17;18;19;20;21;22;23;24;25,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-02,20;21;22;23;24;25,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-03,14;15;16;17;18;19,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-04,16;17;18,2,1;2,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-05,20;21;22;23;24;25,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-06,13;14;15;16;17,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-07,17;18;19;20;21;22;23;24,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-08,17;18;19;20;21,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-09,20;21;22;23;24,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-10,21;22;23;24;25;26;27;28,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-11,16;17;18;19;20,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-12,23;24;25;26;27,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-13,22;23;24;25;26,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-14,21;22;23;24;25;26;27;28,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-15,20;21;22;23,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-16,18;19;20;21;22;23;24;25,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-17,19;20;21;22;23;24;25,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-18,20;21;22;23;24;25;26,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-19,18;19;20;21;22;23,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-20,19;20;21;22;23,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-21,22;23;24;25;26;27,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-22,15;16;17;18;19;20,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-23,16;17;18;19;20;21;22,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-24,19;20;21;22;23;24;25;26,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-25,19;20;21;22;23,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-26,16;17;18;19;20;21;22,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-27,22;23;24;25;26,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-28,17;18;19;20;21,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-29,17;18;19;20;21,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
PER-30,23;24;25;26;27;28;29,3,1;2;3,true,,보존 서사 전부 읽은 실행; 보고서별 명시 근거 판정
