run_id,phase,source_file,pages,available_response_pages,unit_status,review_completed,not_reviewed_reason
CLA-05,T3,runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,15;16;17;18;19;20;21;22,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-05,T4,runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,22;23;24;25;26;27;28;29,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-05,FINAL,runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,30;31;32;33;34;35;36;37;38;39;40;41,12,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-06,T1,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-06,T2,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-06,T3,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20;21,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-06,T4,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27;28,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-06,FINAL,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,29;30;31;32;33;34;35;36;37;38;39,11,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-07,T1,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8;9,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-07,T2,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,9;10;11;12;13;14;15,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-07,T3,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,15;16;17;18;19;20;21;22,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-07,T4,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,22;23;24;25;26;27;28,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-07,FINAL,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,29;30;31;32;33;34;35;36;37;38;39;40;41,13,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-08,T1,runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-08,T2,runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-08,T3,runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-08,T4,runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,20;21;22;23;24;25;26;27,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-08,FINAL,runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,28;29;30;31;32;33;34;35;36;37;38;39,12,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-09,T1,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-09,T2,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-09,T3,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,15;16;17;18;19;20;21,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-09,T4,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27;28,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-09,FINAL,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,30;31;32;33;34;35;36;37;38;39,10,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-10,T1,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-10,T2,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-10,T3,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20;21,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-10,T4,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-10,FINAL,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,28;29;30;31;32;33;34;35;36;37;38;39;40,13,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-11,T1,runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-11,T2,runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14;15,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-11,T3,runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,15;16;17;18;19;20;21;22,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-11,T4,runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,22;23;24;25;26;27;28;29,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-11,FINAL,runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,30;31;32;33;34;35;36;37;38;39;40;41;42,12,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-12,T1,runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-12,T2,runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-12,T3,runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20;21,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-12,T4,runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27;28,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-12,FINAL,runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,29;30;31;32;33;34;35;36;37;38;39;40,12,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-13,T1,runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8;9,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-13,T2,runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,9;10;11;12;13;14,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-13,T3,runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-13,T4,runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,20;21;22;23;24;25;26,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-13,FINAL,runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,28;29;30;31;32;33;34;35;36,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-14,T1,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,1;2;3;4;5;6;7;8;9;10;11,11,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-14,T2,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,11;12;13;14;15;16,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-14,T3,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,16;17;18;19;20;21,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-14,T4,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,21;22;23;24;25;26,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-14,FINAL,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,27;28;29;30;31;32;33;34;35,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-15,T1,runs/raw_logs/Claude_Opus_4/15. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8;9,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-15,T2,runs/raw_logs/Claude_Opus_4/15. Strategic Decision Modeling Protocol.pdf,9;10;11;12;13;14;15;16;17;18;19;20;21,13,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-15,T3,runs/raw_logs/Claude_Opus_4/15. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27;28;29;30;31,11,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-15,T4,runs/raw_logs/Claude_Opus_4/15. Strategic Decision Modeling Protocol.pdf,31;32;33;34;35;36;37;38;39;40,10,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-15,FINAL,runs/raw_logs/Claude_Opus_4/15. Strategic Decision Modeling Protocol.pdf,42;43;44;45;46;47;48;49;50,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-16,T1,runs/raw_logs/Claude_Opus_4/16. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-16,T2,runs/raw_logs/Claude_Opus_4/16. Strategic Decision Modeling Protocol.pdf,7;8;9;10;11;12,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-16,T3,runs/raw_logs/Claude_Opus_4/16. Strategic Decision Modeling Protocol.pdf,12;13;14;15;16;17;18,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-16,T4,runs/raw_logs/Claude_Opus_4/16. Strategic Decision Modeling Protocol.pdf,18;19;20;21;22;23;24;25,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-16,FINAL,runs/raw_logs/Claude_Opus_4/16. Strategic Decision Modeling Protocol.pdf,26;27;28;29;30;31;32;33;34;35;36,11,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-17,T1,runs/raw_logs/Claude_Opus_4/17. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-17,T2,runs/raw_logs/Claude_Opus_4/17. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-17,T3,runs/raw_logs/Claude_Opus_4/17. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20;21,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-17,T4,runs/raw_logs/Claude_Opus_4/17. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-17,FINAL,runs/raw_logs/Claude_Opus_4/17. Strategic Decision Modeling Protocol.pdf,28;29;30;31;32;33;34;35;36;37;38,10,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-18,T1,runs/raw_logs/Claude_Opus_4/18. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-18,T2,runs/raw_logs/Claude_Opus_4/18. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-18,T3,runs/raw_logs/Claude_Opus_4/18. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20;21,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-18,T4,runs/raw_logs/Claude_Opus_4/18. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27;28,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-18,FINAL,runs/raw_logs/Claude_Opus_4/18. Strategic Decision Modeling Protocol.pdf,30;31;32;33;34;35;36;37;38;39,10,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-19,T1,runs/raw_logs/Claude_Opus_4/19. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-19,T2,runs/raw_logs/Claude_Opus_4/19. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-19,T3,runs/raw_logs/Claude_Opus_4/19. Strategic Decision Modeling Protocol.pdf,13;14;15;16;17;18,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-19,T4,runs/raw_logs/Claude_Opus_4/19. Strategic Decision Modeling Protocol.pdf,18;19;20;21;22;23;24,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-19,FINAL,runs/raw_logs/Claude_Opus_4/19. Strategic Decision Modeling Protocol.pdf,25;26;27;28;29;30;31;32;33;34,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-20,T1,runs/raw_logs/Claude_Opus_4/20. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-20,T2,runs/raw_logs/Claude_Opus_4/20. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-20,T3,runs/raw_logs/Claude_Opus_4/20. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20;21,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-20,T4,runs/raw_logs/Claude_Opus_4/20. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27;28,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-20,FINAL,runs/raw_logs/Claude_Opus_4/20. Strategic Decision Modeling Protocol.pdf,29;30;31;32;33;34;35;36;37;38,10,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-21,T1,runs/raw_logs/Claude_Opus_4/21. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8;9;10;11;12,12,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-21,T2,runs/raw_logs/Claude_Opus_4/21. Strategic Decision Modeling Protocol.pdf,12;13;14;15;16;17,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-21,T3,runs/raw_logs/Claude_Opus_4/21. Strategic Decision Modeling Protocol.pdf,17;18;19;20;21;22;23,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-21,T4,runs/raw_logs/Claude_Opus_4/21. Strategic Decision Modeling Protocol.pdf,23;24;25;26;27;28;29,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-21,FINAL,runs/raw_logs/Claude_Opus_4/21. Strategic Decision Modeling Protocol.pdf,30;31;32;33;34;35;36;37;38;39;40;41,12,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-22,T1,runs/raw_logs/Claude_Opus_4/22. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-22,T2,runs/raw_logs/Claude_Opus_4/22. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14;15,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-22,T3,runs/raw_logs/Claude_Opus_4/22. Strategic Decision Modeling Protocol.pdf,15;16;17;18;19;20;21;22,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-22,T4,runs/raw_logs/Claude_Opus_4/22. Strategic Decision Modeling Protocol.pdf,22;23;24;25;26;27;28;29,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-22,FINAL,runs/raw_logs/Claude_Opus_4/22. Strategic Decision Modeling Protocol.pdf,30;31;32;33;34;35;36;37;38;39;40,11,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-23,T1,runs/raw_logs/Claude_Opus_4/23.Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-23,T2,runs/raw_logs/Claude_Opus_4/23.Strategic Decision Modeling Protocol.pdf,7;8;9;10;11;12,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-23,T3,runs/raw_logs/Claude_Opus_4/23.Strategic Decision Modeling Protocol.pdf,13;14;15;16;17;18;19,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-23,T4,runs/raw_logs/Claude_Opus_4/23.Strategic Decision Modeling Protocol.pdf,19;20;21;22;23;24;25,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-23,FINAL,runs/raw_logs/Claude_Opus_4/23.Strategic Decision Modeling Protocol.pdf,26;27;28;29;30;31;32;33;34,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-24,T1,runs/raw_logs/Claude_Opus_4/24. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8;9,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-24,T2,runs/raw_logs/Claude_Opus_4/24. Strategic Decision Modeling Protocol.pdf,9;10;11;12;13;14;15;16,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-24,T3,runs/raw_logs/Claude_Opus_4/24. Strategic Decision Modeling Protocol.pdf,16;17;18;19;20;21;22;23,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-24,T4,runs/raw_logs/Claude_Opus_4/24. Strategic Decision Modeling Protocol.pdf,23;24;25;26;27;28;29,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-24,FINAL,runs/raw_logs/Claude_Opus_4/24. Strategic Decision Modeling Protocol.pdf,31;32;33;34;35;36;37;38;39;40,10,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-25,T1,runs/raw_logs/Claude_Opus_4/25. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-25,T2,runs/raw_logs/Claude_Opus_4/25. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14;15;16,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-25,T3,runs/raw_logs/Claude_Opus_4/25. Strategic Decision Modeling Protocol.pdf,16;17;18;19;20;21;22;23;24,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-25,T4,runs/raw_logs/Claude_Opus_4/25. Strategic Decision Modeling Protocol.pdf,24;25;26;27;28;29;30;31;32,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-25,FINAL,runs/raw_logs/Claude_Opus_4/25. Strategic Decision Modeling Protocol.pdf,33;34;35;36;37;38;39;40;41;42;43;44;45;46;47,15,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-26,T1,runs/raw_logs/Claude_Opus_4/26. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-26,T2,runs/raw_logs/Claude_Opus_4/26. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-26,T3,runs/raw_logs/Claude_Opus_4/26. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20;21,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-26,T4,runs/raw_logs/Claude_Opus_4/26. Strategic Decision Modeling Protocol.pdf,21;22;23;24;25;26;27;28,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-26,FINAL,runs/raw_logs/Claude_Opus_4/26. Strategic Decision Modeling Protocol.pdf,29;30;31;32;33;34;35;36;37;38;39;40;41,13,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-27,T1,runs/raw_logs/Claude_Opus_4/27. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-27,T2,runs/raw_logs/Claude_Opus_4/27. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-27,T3,runs/raw_logs/Claude_Opus_4/27. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-27,T4,runs/raw_logs/Claude_Opus_4/27. Strategic Decision Modeling Protocol.pdf,20;21;22;23;24;25;26;27,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
