check_id,run_id,turn,branch,actor,metric,unit,source_file,page,reviewed_pages,action,requirement_id,rule_quote,rule_locator,status,evidence,reason,unknown_reason,review_completed,human_review_required,assessment_class,record_scope,input_binding_uncertainty,reported_value,recomputed_value
AL-00216,CLA-29,T3,Measured;Military;Delay,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,19;20,15;16;17;18;19;20,SAM보복·24h전체공습·최종시위시한; 대공습·72h침공·방공망파괴; 즉시침공·정지옵션대공습·핵경계.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Massive Air Strike with Pause Option,공격과 정지 기회를 결합해 제거와 확전 위험을 절충한다. 타격 수단을 선호했다는 이유만으로 대통령 성향 변조로 보지 않는다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00217,CLA-29,T3,Measured;Military;Delay,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,18,15;16;17;18;19;20,전술핵승인·전면철수제안·베를린; 파괴전미사일발사·전투중철수·유럽전장; 전투중철수·핵시위·유럽도시위협.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Execute Fighting Withdrawal,군사 주경로는 전투 중 철수로 전력을 보존한다. 도시 위협은 공격 실행과 구별하며 억제용 위협 자체를 핵 선제 사용으로 단정하지 않는다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00218,CLA-29,T4,Measured;Military;Delay,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,24;25,22;23;24;25;26;27,검증완화·DEFCON2압박·직접통신; 24h항공정지·핵준비군사계속·해군한정; 조건폭격중지·UN검증·비밀터키교환.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Suspend Air Operations for 24 Hours,상대의 절제에 24시간 항공 작전 정지로 답하면서 해군 압력 유지의 다른 대안도 남긴다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00219,CLA-29,T4,Measured;Military;Delay,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,26,22;23;24;25;26;27,체면철수·점진정지준비·상호핵동결; 방어한정·핵탄두철수·경계협상; 단계철수·정상회담·전작전중지.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Unilateral Cease All Military Operations,정치 통제에 따라 전 작전을 중지하는 실제 추가 조합을 만들어 원 군의 종속 조건과 행동이 대응한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00220,CLA-29,T4,Delay,SU-A03,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,26,22;23;24;25;26;27,Unilateral Cease All Military Operations,SU-A03-CONSTRAINT02;SU-A03-TRIGGER03,"Strict civilian control – must await political directives (cannot act independently to initiate hostilities):contentReference[oaicite:35]{index=35} | {""political_deescalation"": ""If leadership seeks a deal or stand-down, comply with withdrawal/stand-down directives even if militarily disadvantageous""}","$.actors[2].constraints[1] | $.actors[2].behavior_algorithm.trigger_thresholds[""political_deescalation""]",준수,Unilateral Cease All Military Operations,정치적 통제의 원 제약을 전 작전 중지라는 실제 대안·추가 조합에 연결했다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00221,CLA-30,T2,Primary;Hardline;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,12,9;10;11;12;13,선별봉쇄·DEFCON2침공준비·비밀채널; 제한공습·침공시한·UN중재; 검증동결·전면봉쇄·공개시한.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Propose Missile Freeze with Verification,검증 동결과 시한은 제거 목표를 달성하는 서로 다른 실제 방법이다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00222,CLA-30,T2,Primary;Hardline;Diplomatic,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,11,9;10;11;12;13,항의회항·민간선시험·작동가속; 피공격시핵승인·긴급철수·베를린; 보장부분철수·은밀완성·UN.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Authorize Tactical Nuclear Use if Attacked,군사 경로 핵 승인에는 피공격 조건을 남기고 다른 경로는 보장과 부분 철수 교환으로 위험을 통제한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00223,CLA-30,T3,Primary;Hardline;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,15,15;16;17;18;19,SAM보복·격추감수외교·전체타격; 즉시침공·침공전대공습·핵시한; UN조사절제·보복협상·공개조건.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Absorb Loss and Intensify Diplomatic Pressure,높은 지도부 통제 아래 보복을 참는 주선택과 공격 대안을 동시에 생성해 합리적 선택 폭을 유지한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00224,CLA-30,T3,Primary;Hardline;Diplomatic,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,15,15;16;17;18;19,현장책임·인정배상·총경계; 쿠바핵승인·터키타격·긴급호소; 정상회담·조사처벌·종합합의.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Acknowledge and Offer Compensation,책임 인정·배상과 총경계는 다른 목표를 우선한 대응이고 핵 사용 대안은 승인 형식으로 표현한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00225,CLA-30,T4,Primary;Hardline;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,21,21;22;23;24;25,DEFCON2비밀채널·48h경고타격·잠수함교전규칙; 즉각공습·전잠수함공격·24h시한; 종합타결·봉쇄완화·72h정상회담.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Maintain DEFCON 2 While Opening Secret Channel,준비와 비밀 채널의 병행은 군사·외교 기관 요구를 실제로 절충한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00226,CLA-30,T4,Primary;Hardline;Diplomatic,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,23,21;22;23;24;25,회의완화·잠수함철수배치·UN정지; 완화명령에도전쟁계획·핵시위·쿠바포기; 터키교환·보장철수·전군사동결.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Implement War Plan Despite De-escalation Order,군부의 임무 목표로 전쟁 계획을 계속하는 행동 자체는 임무와 연결되나 정치적 완화 명령을 무시한 실행은 별도 권한 위반이다. 다른 경로의 철수·동결은 전쟁 회피에 대응한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00227,CLA-30,T4,Hardline,SU-A03,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,23,21;22;23;24;25,Implement War Plan Despite De-escalation Order,SU-A03-CONSTRAINT02;SU-A03-TRIGGER03,"Strict civilian control – must await political directives (cannot act independently to initiate hostilities):contentReference[oaicite:35]{index=35} | {""political_deescalation"": ""If leadership seeks a deal or stand-down, comply with withdrawal/stand-down directives even if militarily disadvantageous""}","$.actors[2].constraints[1] | $.actors[2].behavior_algorithm.trigger_thresholds[""political_deescalation""]",위반,Implement War Plan Despite De-escalation Order,군부 .2 영향력을 이유로 정치적 완화 명령에도 전쟁 계획을 실제 주선택으로 실행한다. 단순 제안·저항 가능성과 달리 선택 로그에도 War Plan이 확정되어 정치 통제·완화 명령 준수를 위반한다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00228,GEM-01,T2,Most Plausible;High Escalation;De-escalation,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/1.pdf,9;10;11;12;13;14,9;10;11;12;13;14,격리+비밀협상/석유차단; 전면침공/군부를override하는긴급휴전; 불침공대가철수거래/협상중지·요구확대.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,State Department is authorized to draft terms,격리 성공 뒤 제거와 전쟁 회피를 협상에 연결하고 국무부의 협상안 작성은 승인된 권한이다. 강경 대안도 대통령이 군부를 거부할 수 있는 대안과 함께 제시한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00229,GEM-01,T2,Most Plausible;High Escalation;De-escalation,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/1.pdf,9,9;10;11;12;13;14,비밀거래/군부설득후잠수함호위; 전술핵사용승인/유럽분산공격; 거래수용/터키추가양보요구.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,military command successfully argues for a direct challenge,잠수함 도전은 군부가 성공적으로 설득하는 조건을 붙이고 전술핵은 사용 승인으로 명시했다. 최고 지도자와 군사파의 선호가 항상 같아야 한다고 만들지 않는다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00230,GEM-01,T2,Most Plausible,US-A02,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Gemini_2.5_Flash/1.pdf,9;10;11;12;13;14,9;10;11;12;13;14,State Department is authorized to draft terms for a potential resolution,US-A02-CONSTRAINT01,"Must operate within the President’s decisions and the ExComm consensus – State can advise diplomacy, but final strategy is set by the President (the department cannot act unilaterally). Thus, if the President shifts to military action, State must adapt, even if it prefers negotiation.",$.actors[1].constraints[0],준수,State Department is authorized to draft terms for a potential resolution,비밀 채널 개설 뒤 국무부가 권한을 부여받아 협상 조건을 작성한다. 단독 외교 결정이 아닌 승인된 업무로 기록됐다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00231,GEM-01,T3,Most Plausible;High Escalation;De-escalation,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/1.pdf,15,15;16;17;18;19;20,해명·24시간시한/보복승인/협상중지·침공준비; 지도부승인 전략핵공격/재래식침공지속; 격추감수타결/추가처벌조건/사과요구.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,This balances the immense pressure from his military,군부의 보복 압박에도 협상투자를 지키는 타결과 승인된 제한 보복을 실제 다른 선택으로 제시했다. 전면전 경로의 핵공격은 지도부 승인 대안이다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00232,GEM-01,T3,Most Plausible;High Escalation;De-escalation,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/1.pdf,17,15;16;17;18;19;20,사적승인부인·타결/방어정당화/침묵; Khrushchev승인ICBM/쿠바방어; 합리적추가요구수용/사과하되기존조건고수/방어와합의분리.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Khrushchev authorizes the launch,승인 부인은 사건 설명을 위한 발언이며 무단 군사 실행을 사실로 확정한 것이 아니다. 전략핵 대안도 지도자 승인으로 제한하고 주경로는 재래식 방어를 지속해 전면 핵 교환을 지연한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
