run_id,retrieved_units,reviewed_units,excluded_user_or_duplicate_units,unreviewed_units,explicit_unit_review_complete,full_effect_domain_review_complete,unlabeled_tables_status,note
GEM-12,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-13,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-14,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-15,12,12,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-16,14,14,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-17,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-18,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-19,18,18,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-20,31,31,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-21,22,22,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-22,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-23,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-24,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-25,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-26,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-27,22,22,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-28,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-29,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-30,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-01,25,24,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-02,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-03,8,7,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-04,1,0,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-05,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-06,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-07,25,24,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-08,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-09,25,24,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-10,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-11,13,12,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-12,13,12,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-13,25,24,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-14,1,0,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-15,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-16,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-17,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-18,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-19,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-20,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-21,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-22,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-23,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-24,4,3,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-25,10,9,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-26,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-27,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-28,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-29,3,3,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GPT-30,7,6,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-01,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-02,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-03,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-04,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-05,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-06,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-07,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-08,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-09,1,0,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-10,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-11,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-12,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-13,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-14,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-15,1,0,1,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-16,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-17,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-18,9,0,9,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-19,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-20,4,0,4,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-21,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-22,6,0,6,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-23,2,0,2,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-24,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-25,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-26,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-27,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-28,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-29,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
PER-30,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
