execution_id,system,raw_log_path,source_pdf_sha256,original_outcome,status,outcome_5,recoding_changed,source_branch,selection_evidence,terminal_evidence,reasoning,common_state,actor_states,state_pages,limitations
GPT-4o-15,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V15.pdf,82da816b1d9610816025abf6b57e0ddb30d45896c19a99bf382c88ae5370f33c,Protracted stalemate,confirmed,Protracted stalemate,False,Most Plausible Path Branch 1.1 / The Razor's Edge,"[{""page"": 20, ""excerpt"": ""Most Plausible Path (Branch 1.1): U.S.: Final Public Ultimatum USSR: Tactical Nuclear Readiness""}, {""page"": 26, ""excerpt"": ""drawn from the \""Most Plausible Path\""""}, {""page"": 28, ""excerpt"": ""Kennedy’s team issued a final public ultimatum""}]","[{""page"": 28, ""excerpt"": ""full-scale war was narrowly avoided""}, {""page"": 29, ""excerpt"": ""a highly unstable and fragile deterrence environment emerged""}]","Explicitly linked report repeats branch 1.1's ultimatum and tactical readiness, not alternative 1.2's accepted secret compromise. Official diplomacy remains constrained and no settlement occurs.",,,[20],"The log gives sequential actor effects, with final Soviet block reporting only tension and unity; a complete common end-state would require carrying forward missing values."
GPT-4o-16,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V16.pdf,095afc84f8437c7f5343b184d25cd23dfd17693b1386f84d94fa35f778900e7d,Protracted stalemate,confirmed,Protracted stalemate,False,Scenario Combination 1 Continuation of Most Plausible Path / A Blade's Edge: The Quarantine Gamble,"[{""page"": 17, ""excerpt"": ""SCENARIO COMBINATION 1 — Continuation of Most Plausible Path""}, {""page"": 20, ""excerpt"": ""Private Line + DEFCON 2""}, {""page"": 24, ""excerpt"": ""pursued the opening of a private channel""}]","[{""page"": 25, ""excerpt"": ""While full-scale conflict did not erupt, the system reached a state of extreme instability.""}, {""page"": 25, ""excerpt"": ""diplomatic options became constrained, and emergency protocols dominated decision-making""}]","The report reproduces the main branch's private channel and dual-track preparation. Continued extreme instability and constrained diplomacy, not a completed settlement, define the ending.","[0.85, 0.51, 0.61, 0.5]",,[18],Table values transcribed as recorded; causal/event mapping and arithmetic unverified.
GPT-4o-17,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V17.pdf,68003af1d7585e2b160a148685d20484b7576af921e5792488adfbf768abafeb,Protracted stalemate,confirmed,Protracted stalemate,False,"Latest Turn-1 Primary Plausible Path, Quarantine + Denial/Backchannel / The Narrow Edge","[{""page"": 8, ""excerpt"": ""Primary Plausible Path U.S.: Naval Quarantine USSR: Official Denial + Backchannel Diplomacy""}, {""page"": 9, ""excerpt"": ""Primary (Stable) Quarantine Denial + Backchannel Diplomacy""}, {""page"": 15, ""excerpt"": ""the U.S. initiates a naval quarantine""}]","[{""page"": 16, ""excerpt"": ""the crisis enters a prolonged and unstable holding pattern""}, {""page"": 17, ""excerpt"": ""Submarine surfacing → Stalemate""}]","The latest repeated initial-event response before Turns 2-4 marks quarantine/denial/backchannel as primary; the narrative continues those actions and ends in a holding pattern, rather than the airstrike or UN-demarche alternatives.",,,[12],"An earlier initial-event answer ranks diplomacy first; this follows the later explicit primary designation. Later numeric event tables are not branch-labelled, so no common branch vector is assigned."
GPT-4o-18,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V18.pdf,f0dad85d4e2cfc4eaaf5de2909bacdad3105b8f12cfca38f8df9bed75cd66ecd,Protracted stalemate,confirmed,Protracted stalemate,False,Most Plausible Combination A / Tightrope at Twilight,"[{""page"": 8, ""excerpt"": ""Most Plausible Strategic Combination Combination A""}, {""page"": 9, ""excerpt"": ""Most Plausible Path (Combination A)""}, {""page"": 14, ""excerpt"": ""Scenario Planning Report: Combination A""}]","[{""page"": 16, ""excerpt"": ""Military clash avoided, but crisis remained unresolved.""}]",The final report explicitly identifies the same Combination A as the ranked initial branch and continues quarantine/readiness. Its ending unequivocally remains unresolved.,,,"[11, 12]","The last numeric table is explicitly the start of Turn 4, not a final state, and uses actor-specific unity plus diplomatic room. It is not substituted for the requested four terminal values."
GPT-4o-19,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V19.pdf,4750ec398977fac0511c235af8f5947636e89150f2a8a28b03df2f3f246df7d0,Protracted stalemate,confirmed,Protracted stalemate,False,Scenario Combination 1 Most Plausible Path / Thresholds of No Return,"[{""page"": 23, ""excerpt"": ""SCENARIO COMBINATION 1 — Most Plausible Path""}, {""page"": 24, ""excerpt"": ""US-Invasion_Mobilization + USSR-Tactical_Prep_Deescalate""}, {""page"": 32, ""excerpt"": ""The U.S. commenced full-scale mobilization for invasion.""}]","[{""page"": 33, ""excerpt"": ""entrenched military posturing on both sides""}, {""page"": 33, ""excerpt"": ""open warfare was not triggered within the observed sequence""}]",Narrative repeats the marked branch's invasion mobilization without an actual invasion and Soviet tactical preparation/de-escalation signaling; it ends in military posturing without settlement.,,"{""shared_components"": {""tension"": 1.0, ""diplomatic_support"": 0.39, ""public_opinion"": 0.44}, ""leadership_unity_US"": 0.85, ""leadership_unity_USSR"": 0.9}",[24],Leadership unity is actor-specific; no mean or single shared unity is imposed. War preparations are not coded as realized war.
GPT-4o-20,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V20.pdf,60668599f034f9aa539712f4a5180b7e8fa74acf6cb5de703adbf86195f8f9cf,Protracted stalemate,confirmed,Protracted stalemate,False,Combination 1 Most Likely -> Escalated Military Standoff / The Edge of Action,"[{""page"": 7, ""excerpt"": ""COMBINATION 1 (Most Likely)""}, {""page"": 20, ""excerpt"": ""Most Plausible Path (Combo 1): U.S. Preemptive Force Posture + USSR High Alert + Quiet De-escalation Offer""}, {""page"": 27, ""excerpt"": ""Preemptive options were evaluated but delayed""}]","[{""page"": 27, ""excerpt"": ""The system entered a volatile deadlock""}, {""page"": 28, ""excerpt"": ""A full-scale military exchange was narrowly avoided""}]","Initially ranked Combo 1 continues into the same named trajectory and the narrative's force posture/quiet talk offer. Deadlock persists, with neither completed deal nor full-scale exchange.",,,[20],Final numeric entries are explicitly approximate (~0.41/~0.36/~0.57); no false precision is introduced into an exact common-state vector.
GPT-4o-21,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V21.pdf,3118d6828e017eae7eb572f1e11734a172741fea6ddc2bbf116ab2726be8cb11,Protracted stalemate,confirmed,Protracted stalemate,False,A1 -> A3-1 -> A4-1 / The Edge Without Crossing,"[{""page"": 21, ""excerpt"": ""MOST PLAUSIBLE COMBINATION: A4-1""}, {""page"": 26, ""excerpt"": ""This scenario emerges from the most plausible path: combination A1 → A3-1 → A4-1""}]","[{""page"": 30, ""excerpt"": ""While the core issue (missile removal) remained unresolved""}, {""page"": 30, ""excerpt"": ""While no formal resolution was achieved""}]","The report explicitly traces the marked main branch and records neither missile removal nor a formal resolution, despite stabilization short of war.","[0.8, 0.73, 0.83, 1.0]",,[22],Recorded terminal vector only; no arithmetic or rule-compliance certification.
GPT-4o-22,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V22.pdf,80cff2f749dcefe8b48c003c616763359c4ac63fd1709a407f9b6e7181235bb4,Protracted stalemate,confirmed,Protracted stalemate,False,Most Plausible Quarantine + Soviet Alert -> Combination 1 Escalated Brinkmanship / The Tightening Coil,"[{""page"": 3, ""excerpt"": ""Most Plausible Combination: U.S.: Naval Quarantine + USSR: Raise Military Alert Status (but avoid war)""}, {""page"": 10, ""excerpt"": ""Scenario Combination 1: Escalated Brinkmanship""}]","[{""page"": 17, ""excerpt"": ""Full-scale war was avoided, yet diplomatic solutions remained distant.""}, {""page"": 17, ""excerpt"": ""Final Outcome: Peak tension entrenched; war avoided but unresolved.""}]","The report follows the ranked quarantine/Soviet-alert path into maintained DEFCON 2 and dual readiness/proposal, ending explicitly unresolved.",,,"[10, 11, 12]",Final logs report changes rather than a complete common absolute vector. Intermediate limited response does not supersede the explicit unresolved terminal outcome.
GPT-4o-23,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V23.pdf,2847d060b5d31732c7d018ae6266a603ed9b8e1f7f4bd61973149618e70f08cf,Protracted stalemate,confirmed,Protracted stalemate,False,Scenario Combination 1 Most Plausible Path / The Narrow Precipice,"[{""page"": 11, ""excerpt"": ""SCENARIO COMBINATION 1: Most Plausible Path – Turn 4""}]","[{""page"": 18, ""excerpt"": ""The scenario resulted in a dangerously entrenched stalemate""}, {""page"": 18, ""excerpt"": ""A full-scale war was narrowly avoided.""}]",The report's Turn 4 defense posture and Soviet military alert/diplomatic outreach match the marked main branch rather than the strike or diplomatic-success alternatives. The terminal description explicitly records stalemate.,"[1.0, 0.49, 0.44, 1.0]",,[11],"State transcribed from the terminal log, without certifying its calculation."
GPT-4o-24,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V24.pdf,7714ddf156a4047a6a3fd46367c3dcd82b1135b26e3420dd5eb131dbd6fcaccd,Protracted stalemate,confirmed,Protracted stalemate,False,Most Plausible Path / The Edge of Command,"[{""page"": 10, ""excerpt"": ""Most Plausible Path""}, {""page"": 18, ""excerpt"": ""based on the \""Most Plausible Path\"" simulation branch""}]","[{""page"": 21, ""excerpt"": ""it established a locked posture of maximal alert, internal discord, and systemic rigidity.""}, {""page"": 22, ""excerpt"": ""Direct war avoided, but the system locked into unsustainable brinkmanship""}]",An explicitly linked narrative ends in unresolved alert and brinkmanship; internal discord is not a realized government or system collapse.,"[1.0, 0.47, 0.52, 0.45]",,[10],Transcription does not establish rule compliance or arithmetic correctness.
GPT-4o-25,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V25.pdf,b0a112a6a6dcc9a56fe67c8983a15f4e06a3034ebb03146ca406d11d3c476a8d,Protracted stalemate,withheld,,False,Most Plausible A1 Naval Quarantine + S2 Strategic Ambiguity & Backchannel; possible narrative The Edge of Restraint,"[{""page"": 4, ""excerpt"": ""[Most Plausible Combination]: A1. U.S. Naval Quarantine + S2. Soviet Strategic Ambiguity & Backchannel Negotiation""}]","[{""page"": 18, ""excerpt"": ""Full-scale war was narrowly avoided, but the crisis crystallized into a state of continuous brinkmanship.""}, {""page"": 19, ""excerpt"": ""War was averted; political and military tension remained entrenched""}]","The narrative ending supports stalemate if it is the main branch, but it is not explicitly main-labelled. Alternative 1 shares naval quarantine, subsequent logs give the same generic actions to all branches, and the narrative's denial/continued deployment also fits Alternative 1. Report order alone cannot establish Top-1 linkage.","[0.7, 0.69, 0.59, 0.55]",,[12],"The common vector belongs to the explicitly labelled main log, but linkage between that log and the final narrative is withheld. No forced narrative label assignment."
GPT-4o-26,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V26.pdf,093cab78c8c0ce3f58bc0fbcf0c4c3aea891b778b2aff263971884fdf93e5606,Full-scale war,confirmed,Protracted stalemate,True,Primary Plausible Quarantine + Soviet Military Readiness / The Brinkmanship Ballet,"[{""page"": 4, ""excerpt"": ""Primary Plausible Path: U.S. Naval Quarantine + Soviet Military Readiness Elevation""}, {""page"": 23, ""excerpt"": ""RESULT LOG: Most Plausible Path""}]","[{""page"": 33, ""excerpt"": ""The scenario culminated in a precarious stalemate, with full-scale conflict narrowly avoided.""}]","The narrative follows main-branch quarantine/military readiness rather than the initial diplomacy or airstrike alternatives, and its last-turn DEFCON 2/dual-track Soviet response matches the main log. The source explicitly says full-scale conflict did not occur.","[0.95, 0.64, 0.84, 1.0]",,[26],War preparation and near-war are not coded as realized war. Numeric transcription is not arithmetic validation.
GPT-4o-27,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V27.pdf,1c91642cd20ca4e538be5a3c52238b74a3c68ca7a248a9c91157a240a8415847,Diplomatic resolution,confirmed,Protracted stalemate,True,Most Plausible Path / The Brink of Constrained Conflagration,"[{""page"": 22, ""excerpt"": ""Most Plausible Path""}]","[{""page"": 28, ""excerpt"": ""The scenario culminated in a stalemate of constrained conflagration""}, {""page"": 28, ""excerpt"": ""full-scale nuclear war was avoided""}]","The report reproduces the main branch's maintained DEFCON 2/naval pressure and Soviet public de-escalation with covert preparation, not the hardline strikes or ceasefire alternatives. Its ending explicitly remains stalemate; no completed settlement is recorded.",,,"[23, 24]",Terminal vector includes negative support/unity values (-0.15/-0.30); no clipping or mixed-level reconstruction is imposed.
GPT-4o-28,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V28.pdf,ee50e21096f64d31b893ea2862c7725b2f15b11ffd90ecd7c150b89ead491ad9,Full-scale war,confirmed,Protracted stalemate,True,Most Plausible Path / Brinkmanship's Edge,"[{""page"": 18, ""excerpt"": ""Scenario Planning Report 1: Most Plausible Path""}]","[{""page"": 20, ""excerpt"": ""No full-scale nuclear war erupts""}, {""page"": 20, ""excerpt"": ""military forces on hair-trigger alert and public fear widespread""}]",The explicitly main-labelled report ends in an unresolved nuclear standoff. Preparations and hair-trigger alert do not establish realized full-scale war.,"[1.0, 0.34, 0.34, 1.0]",,[17],No arithmetic or state-transition compliance validation is inferred from the recorded vector.
GPT-4o-29,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V29.pdf,588bfc80c9151a9a8981f07b5c5f73f2c4ec0c93ae8849ad9c0b3dcd23eb1a4b,Diplomatic resolution,confirmed,Protracted stalemate,True,Scenario Combination 1 Most Plausible Path / The Brink with a Breather,"[{""page"": 18, ""excerpt"": ""U1-A (Maintain DEFCON 2 + Blockade) + S1-A (Public De-escalation + Covert Prep)""}]","[{""page"": 25, ""excerpt"": ""The stalemate reflects deep distrust""}, {""page"": 25, ""excerpt"": ""The scenario concludes without open warfare, but tension remains entrenched at near-peak levels""}]","The narrative's maintained DEFCON 2/blockade and Soviet public conciliation with covert preparation match the marked main pair, not the public US de-escalation/pause/withdrawal alternative. The ending states stalemate, not a completed settlement.","[1.0, 0.81, 1.0, 1.0]",,"[18, 21]","Vector transcribed from the main branch table/summary, not independently recomputed."
GPT-4o-30,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V30.pdf,b94418adfac3570e22ca85e3d4c4b7d2f6e7fe2559b695680da0c623834de476,Internal collapse,confirmed,Protracted stalemate,True,"Most Plausible Path, DEFCON 2 + Soviet Military Alert / The Brink of Balance","[{""page"": 21, ""excerpt"": ""Most Plausible Combination U.S.: Maintain DEFCON 2 with Defense Prep USSR: Continue War Preparations (Military Alert)""}, {""page"": 22, ""excerpt"": ""Result Log – Most Plausible Path (Turn 4)""}]","[{""page"": 30, ""excerpt"": ""The crisis escalates to unprecedented tension but stops short of war.""}, {""page"": 30, ""excerpt"": ""creating a high-risk stalemate""}, {""page"": 30, ""excerpt"": ""internal unity stabilizes leadership and decision-making""}]","The narrative continues main-branch quarantine/readiness and final DEFCON 2/Soviet war preparation; its terminal assessment explicitly records stalemate and stable leadership, not internal collapse.","[0.9, 0.19, 0.14, 1.0]",,[22],The complete recorded final vector is transcribed; no rule or arithmetic correctness claim.
