check_family,check_id,calculated,stored,match,scope
inheritance,CLA-01-INH-E008-U1-Diplomatic_Support,0.35,0.35,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E008-U1-Public_Opinion,0.90,0.90,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E008-U1-Leadership_Unity,0.30,0.30,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E009-U1-Tension,0.85,0.85,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E009-U1-Diplomatic_Support,0.65,0.65,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E009-U1-Public_Opinion,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E009-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E001-U1-Tension,0.75,0.75,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E001-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E001-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E001-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E002-U1-Tension,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E002-U1-Diplomatic_Support,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E002-U1-Public_Opinion,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E002-U1-Leadership_Unity,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E003-U1-Tension,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E003-U1-Diplomatic_Support,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E003-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E003-U1-Leadership_Unity,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E004-U1-Tension,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E004-U1-Diplomatic_Support,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E004-U1-Public_Opinion,0.50,0.50,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E004-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E005-U1-Tension,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E005-U1-Diplomatic_Support,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E005-U1-Public_Opinion,0.50,0.50,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E005-U1-Leadership_Unity,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E006-U1-Tension,0.40,0.40,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E006-U1-Diplomatic_Support,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E006-U1-Public_Opinion,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E006-U1-Leadership_Unity,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E007-U1-Tension,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E007-U1-Diplomatic_Support,0.50,0.50,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E007-U1-Public_Opinion,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E007-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E008-U1-Tension,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E008-U1-Diplomatic_Support,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E008-U1-Public_Opinion,0.50,0.50,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E008-U1-Leadership_Unity,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E009-U1-Tension,0.40,0.40,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E009-U1-Diplomatic_Support,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E009-U1-Public_Opinion,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-02-INH-E009-U1-Leadership_Unity,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E001-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E001-U1-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E001-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E001-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E001-U2-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E001-U2-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E001-U2-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E001-U2-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E002-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E002-U1-Diplomatic_Support,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E002-U1-Public_Opinion,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E002-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E002-U2-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E002-U2-Diplomatic_Support,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E002-U2-Public_Opinion,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E002-U2-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E003-U1-Tension,0.90,0.90,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E003-U1-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E003-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E003-U1-Leadership_Unity,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E003-U2-Tension,0.90,0.90,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E003-U2-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E003-U2-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E003-U2-Leadership_Unity,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E004-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E004-U1-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E004-U1-Public_Opinion,0.53,0.53,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E004-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E004-U2-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E004-U2-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E004-U2-Public_Opinion,0.53,0.53,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E004-U2-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E005-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E005-U1-Diplomatic_Support,0.43,0.43,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E005-U1-Public_Opinion,0.43,0.43,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E005-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E005-U2-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E005-U2-Diplomatic_Support,0.43,0.43,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E005-U2-Public_Opinion,0.43,0.43,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E005-U2-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E006-U1-Tension,0.80,0.80,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E006-U1-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E006-U1-Public_Opinion,0.65,0.65,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E006-U1-Leadership_Unity,0.65,0.65,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E006-U2-Tension,0.80,0.80,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E006-U2-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E006-U2-Public_Opinion,0.65,0.65,True,fixed parent identification and value transcription
inheritance,CLA-03-INH-E006-U2-Leadership_Unity,0.65,0.65,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E001-U1-Tension,0.875,0.875,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E001-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E001-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E001-U1-Leadership_Unity,0.725,0.725,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E001-U2-Tension,0.875,0.875,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E001-U2-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E001-U2-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E001-U2-Leadership_Unity,0.725,0.725,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E002-U1-Tension,0.8,0.8,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E002-U1-Diplomatic_Support,0.4,0.4,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E002-U1-Public_Opinion,0.4,0.4,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E002-U1-Leadership_Unity,0.3,0.3,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E002-U2-Tension,0.8,0.8,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E002-U2-Diplomatic_Support,0.4,0.4,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E002-U2-Public_Opinion,0.4,0.4,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E002-U2-Leadership_Unity,0.3,0.3,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E003-U1-Tension,0.725,0.725,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E003-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E003-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E003-U1-Leadership_Unity,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E003-U2-Tension,0.725,0.725,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E003-U2-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E003-U2-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E003-U2-Leadership_Unity,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E004-U1-Tension,0.825,0.825,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E004-U1-Diplomatic_Support,0.6,0.6,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E004-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E004-U1-Leadership_Unity,0.775,0.775,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E004-U2-Tension,0.825,0.825,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E004-U2-Diplomatic_Support,0.6,0.6,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E004-U2-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E004-U2-Leadership_Unity,0.775,0.775,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E005-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E005-U1-Diplomatic_Support,0.3,0.3,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E005-U1-Public_Opinion,0.3,0.3,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E005-U1-Leadership_Unity,0.1,0.1,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E006-U1-Tension,0.775,0.775,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E006-U1-Diplomatic_Support,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E006-U1-Public_Opinion,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E006-U1-Leadership_Unity,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E006-U2-Tension,0.775,0.775,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E006-U2-Diplomatic_Support,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E006-U2-Public_Opinion,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E006-U2-Leadership_Unity,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E007-U1-Tension,0.725,0.725,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E007-U1-Diplomatic_Support,0.75,0.75,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E007-U1-Public_Opinion,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E007-U1-Leadership_Unity,0.925,0.925,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E007-U2-Tension,0.725,0.725,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E007-U2-Diplomatic_Support,0.75,0.75,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E007-U2-Public_Opinion,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E007-U2-Leadership_Unity,0.925,0.925,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E008-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E008-U1-Diplomatic_Support,0.0,0.0,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E008-U1-Public_Opinion,0.0,0.0,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E008-U1-Leadership_Unity,0.0,0.0,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E009-U1-Tension,0.8,0.8,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E009-U1-Diplomatic_Support,0.505,0.505,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E009-U1-Public_Opinion,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E009-U1-Leadership_Unity,0.425,0.425,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E009-U2-Tension,0.8,0.8,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E009-U2-Diplomatic_Support,0.505,0.505,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E009-U2-Public_Opinion,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-04-INH-E009-U2-Leadership_Unity,0.425,0.425,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E001-U1-Tension,0.75,0.75,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E001-U1-Diplomatic_Support,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E001-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E001-U1-Leadership_Unity,0.85,0.85,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E002-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E002-U1-Diplomatic_Support,0.20,0.20,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E002-U1-Public_Opinion,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E002-U1-Leadership_Unity,0.65,0.65,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E003-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E003-U1-Diplomatic_Support,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E003-U1-Public_Opinion,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E003-U1-Leadership_Unity,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E004-U1-Tension,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E004-U1-Diplomatic_Support,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E004-U1-Public_Opinion,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E004-U1-Leadership_Unity,0.90,0.90,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E005-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E005-U1-Diplomatic_Support,0.13,0.13,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E005-U1-Public_Opinion,0.93,0.93,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E005-U1-Leadership_Unity,0.50,0.50,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E006-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E006-U1-Diplomatic_Support,0.50,0.50,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E006-U1-Public_Opinion,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E006-U1-Leadership_Unity,0.50,0.50,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E007-U1-Tension,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E007-U1-Diplomatic_Support,0.85,0.85,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E007-U1-Public_Opinion,0.75,0.75,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E007-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E008-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E008-U1-Diplomatic_Support,0.08,0.08,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E008-U1-Public_Opinion,0.88,0.88,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E008-U1-Leadership_Unity,0.40,0.40,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E009-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E009-U1-Diplomatic_Support,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E009-U1-Public_Opinion,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-05-INH-E009-U1-Leadership_Unity,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E001-U1-Tension,0.8,0.8,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E001-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E001-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E001-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E002-U1-Tension,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E002-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E002-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E002-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E003-U1-Tension,0.65,0.65,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E003-U1-Diplomatic_Support,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E003-U1-Public_Opinion,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E003-U1-Leadership_Unity,0.40,0.40,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E004-U1-Tension,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E004-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E004-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E004-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E005-U1-Tension,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E005-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E005-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E005-U1-Leadership_Unity,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E006-U1-Tension,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E006-U1-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E006-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E006-U1-Leadership_Unity,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E007-U1-Tension,0.8,0.8,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E007-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E007-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E007-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E008-U1-Tension,0.9,0.9,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E008-U1-Diplomatic_Support,0.6,0.6,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E008-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E008-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E009-U1-Tension,0.6,0.6,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E009-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E009-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E009-U1-Leadership_Unity,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E010-U1-Tension,0.9,0.9,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E010-U1-Diplomatic_Support,0.6,0.6,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E010-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E010-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E011-U1-Tension,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E011-U1-Diplomatic_Support,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E011-U1-Public_Opinion,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E011-U1-Leadership_Unity,0.45,0.45,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E012-U1-Tension,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E012-U1-Diplomatic_Support,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E012-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E012-U1-Leadership_Unity,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E013-U1-Tension,0.85,0.85,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E013-U1-Diplomatic_Support,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E013-U1-Public_Opinion,0.48,0.48,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E013-U1-Leadership_Unity,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E014-U1-Tension,0.85,0.85,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E014-U1-Diplomatic_Support,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-06-INH-E014-U1-Public_Opinion,0.60,0.60,True,fixed parent identification and value transcription
